# {"t_start": 1592860559.4529037, "env_id": "Acrobot-v1"} 
r,l,t
-131.0,132,1.659667
-83.0,84,1.820504
-74.0,75,1.967929
-79.0,80,2.118566
-108.0,109,2.323517
-86.0,87,2.654446
-80.0,81,2.806343
-89.0,90,2.973005
-85.0,86,3.133242
-73.0,74,3.270432
-74.0,75,3.413007
-89.0,90,3.748584
-84.0,85,3.914042
-79.0,80,4.067744
-74.0,75,4.212336
-99.0,100,4.409783
-77.0,78,4.558139
-96.0,97,4.904216
-74.0,75,5.047299
-69.0,70,5.178814
-71.0,72,5.310214
-91.0,92,5.483691
-70.0,71,5.613888
-102.0,103,5.969825
-92.0,93,6.148438
-88.0,89,6.318945
-75.0,76,6.458377
-109.0,110,6.658894
-96.0,97,6.83611
-104.0,105,7.193127
-79.0,80,7.339293
-75.0,76,7.478294
-95.0,96,7.65347
-151.0,152,7.931109
-123.0,124,8.325158
-80.0,81,8.474071
-101.0,102,8.659691
-92.0,93,8.829663
-93.0,94,9.004607
-80.0,81,9.320647
-62.0,63,9.437335
-97.0,98,9.622062
-84.0,85,9.782992
-85.0,86,9.946174
-94.0,95,10.123277
-88.0,89,10.45052
-82.0,83,10.604951
-75.0,76,10.746196
-100.0,101,10.934914
-78.0,79,11.081087
-81.0,82,11.233355
-87.0,88,11.55945
-85.0,86,11.717969
-94.0,95,11.896738
-111.0,112,12.104151
-100.0,101,12.294179
-66.0,67,12.419922
-79.0,80,12.73217
-98.0,99,12.916974
-94.0,95,13.093908
-98.0,99,13.278221
-100.0,101,13.466893
-84.0,85,13.78935
-71.0,72,13.924045
-92.0,93,14.101827
-112.0,113,14.313275
-94.0,95,14.495297
-79.0,80,14.646966
-78.0,79,14.956183
-84.0,85,15.114808
-192.0,193,15.474711
-84.0,85,15.633717
-73.0,74,15.772704
-77.0,78,16.083407
-71.0,72,16.218508
-103.0,104,16.413589
-71.0,72,16.548188
-76.0,77,16.691727
-63.0,64,16.811435
-64.0,65,16.933418
-92.0,93,17.265822
-107.0,108,17.465132
-85.0,86,17.625072
-95.0,96,17.804096
-90.0,91,17.97513
-96.0,97,18.322637
-76.0,77,18.464831
-81.0,82,18.617998
-88.0,89,18.785709
-89.0,90,18.958048
-104.0,105,19.159806
-156.0,157,19.618972
-89.0,90,19.786906
-87.0,88,19.951206
-81.0,82,20.104522
-80.0,81,20.257704
-75.0,76,20.565664
-90.0,91,20.736529
-94.0,95,20.914953
-76.0,77,21.059648
-92.0,93,21.232639
-80.0,81,21.383307
-78.0,79,21.692817
-71.0,72,21.827533
