# {"t_start": 1592860559.4567525, "env_id": "Acrobot-v1"} 
r,l,t
-93.0,94,1.584108
-73.0,74,1.724799
-93.0,94,1.904266
-74.0,75,2.051126
-93.0,94,2.226166
-92.0,93,2.568239
-91.0,92,2.742644
-83.0,84,2.899581
-92.0,93,3.071421
-108.0,109,3.274362
-277.0,278,3.971752
-72.0,73,4.112052
-370.0,371,4.987849
-141.0,142,5.253179
-82.0,83,5.407166
-75.0,76,5.549561
-93.0,94,5.721936
-92.0,93,6.064112
-73.0,74,6.205918
-73.0,74,6.34655
-95.0,96,6.521858
-87.0,88,6.682639
-84.0,85,6.837832
-84.0,85,7.158325
-87.0,88,7.318892
-83.0,84,7.472515
-79.0,80,7.618485
-83.0,84,7.771852
-92.0,93,7.942106
-64.0,65,8.22582
-100.0,101,8.413999
-86.0,87,8.5722
-74.0,75,8.708982
-98.0,99,8.889498
-102.0,103,9.084555
-76.0,77,9.391366
-111.0,112,9.601005
-90.0,91,9.773614
-64.0,65,9.896859
-91.0,92,10.069288
-168.0,169,10.545717
-71.0,72,10.679248
-64.0,65,10.800184
-79.0,80,10.949996
-91.0,92,11.120182
-72.0,73,11.255969
-75.0,76,11.559314
-73.0,74,11.694585
-75.0,76,11.83896
-86.0,87,11.999851
-90.0,91,12.170264
-85.0,86,12.331784
-89.0,90,12.662675
-86.0,87,12.825654
-70.0,71,12.958295
-70.0,71,13.090096
-80.0,81,13.240588
-76.0,77,13.38414
-75.0,76,13.525415
-96.0,97,13.870658
-78.0,79,14.021607
-155.0,156,14.315207
-96.0,97,14.500951
-82.0,83,14.658323
-70.0,71,14.952356
-72.0,73,15.088499
-146.0,147,15.36372
-90.0,91,15.532896
-500.0,500,16.634305
-78.0,79,16.781393
-85.0,86,16.942323
-88.0,89,17.267495
-223.0,224,17.682477
-82.0,83,17.838052
-79.0,80,17.988537
-71.0,72,18.289234
-79.0,80,18.436915
-62.0,63,18.55481
-88.0,89,18.720401
-94.0,95,18.902912
-93.0,94,19.082317
-61.0,62,19.365439
-84.0,85,19.526008
-80.0,81,19.677036
-105.0,106,19.874816
-82.0,83,20.029684
-96.0,97,20.212234
-188.0,189,20.732722
-62.0,63,20.850456
-90.0,91,21.022013
-93.0,94,21.197285
-79.0,80,21.345757
-89.0,90,21.675982
-83.0,84,21.832821
-121.0,122,22.059362
-62.0,63,22.177184
-76.0,77,22.320295
-85.0,86,22.480412
-90.0,91,22.812768
-62.0,63,22.929224
-82.0,83,23.084445
-126.0,127,23.32287
-500.0,500,24.419276
-73.0,74,24.558787
-97.0,98,24.742553
-71.0,72,25.037022
-72.0,73,25.173961
-82.0,83,25.328634
-97.0,98,25.510237
-62.0,63,25.628595
-87.0,88,25.793654
-62.0,63,25.912656
-62.0,63,26.194251
-79.0,80,26.341816
-74.0,75,26.482526
-147.0,148,26.751199
-92.0,93,26.920063
-62.0,63,27.200386
-76.0,77,27.34299
-72.0,73,27.477154
-77.0,78,27.619815
-77.0,78,27.764905
-95.0,96,27.94518
-85.0,86,28.104524
-94.0,95,28.442569
-86.0,87,28.602149
-81.0,82,28.752326
-76.0,77,28.892846
-89.0,90,29.059855
-94.0,95,29.237109
-86.0,87,29.561769
-101.0,102,29.747804
-93.0,94,29.920684
-78.0,79,30.070314
-78.0,79,30.217107
-84.0,85,30.545936
-134.0,135,30.8037
-73.0,74,30.941878
-76.0,77,31.085963
-83.0,84,31.242851
-164.0,165,31.718946
-78.0,79,31.867132
-72.0,73,32.002604
-72.0,73,32.136594
-80.0,81,32.288152
-91.0,92,32.460158
-87.0,88,32.786861
-85.0,86,32.946606
-80.0,81,33.094618
-104.0,105,33.294407
-77.0,78,33.441682
-93.0,94,33.618829
-78.0,79,33.929964
-98.0,99,34.114662
-83.0,84,34.272584
-85.0,86,34.436363
-74.0,75,34.579596
-70.0,71,34.714491
-94.0,95,35.056319
-74.0,75,35.203466
-74.0,75,35.346845
-95.0,96,35.527075
-82.0,83,35.684043
-67.0,68,35.812658
-89.0,90,35.992516
-71.0,72,36.300497
-89.0,90,36.476979
-106.0,107,36.681078
-78.0,79,36.833185
-86.0,87,37.001152
-81.0,82,37.155804
-78.0,79,37.466051
-86.0,87,37.628514
-86.0,87,37.79004
-73.0,74,37.93029
-91.0,92,38.104846
-74.0,75,38.246344
-60.0,61,38.523609
-69.0,70,38.655733
-73.0,74,38.793869
-131.0,132,39.041919
-73.0,74,39.179473
-85.0,86,39.339843
-77.0,78,39.645836
-77.0,78,39.788518
-86.0,87,39.950035
-90.0,91,40.11968
-93.0,94,40.295533
-74.0,75,40.436074
-70.0,71,40.7327
-86.0,87,40.892381
-81.0,82,41.042749
-78.0,79,41.187426
-75.0,76,41.326663
-70.0,71,41.457815
-81.0,82,41.60844
-75.0,76,41.916399
-74.0,75,42.057835
-93.0,94,42.232053
-79.0,80,42.382097
-85.0,86,42.546238
-94.0,95,42.7282
-107.0,108,43.091782
-74.0,75,43.231194
-97.0,98,43.411893
-85.0,86,43.56974
-86.0,87,43.72934
-71.0,72,43.861406
-93.0,94,44.204501
-91.0,92,44.375063
-101.0,102,44.566999
-82.0,83,44.725648
-75.0,76,44.87067
-81.0,82,45.186667
-96.0,97,45.370283
-76.0,77,45.515892
-77.0,78,45.665574
-82.0,83,45.82492
-82.0,83,45.983493
-69.0,70,46.116539
-74.0,75,46.42007
-94.0,95,46.600236
-71.0,72,46.737798
-78.0,79,46.889148
-173.0,174,47.212667
-73.0,74,47.516521
-71.0,72,47.651823
-86.0,87,47.812571
-81.0,82,47.967484
-95.0,96,48.146318
-70.0,71,48.280059
-76.0,77,48.589195
-89.0,90,48.753757
-80.0,81,48.902459
-75.0,76,49.044045
-99.0,100,49.230567
-91.0,92,49.404287
-85.0,86,49.733635
-80.0,81,49.883493
-90.0,91,50.050466
-115.0,116,50.264528
-73.0,74,50.40385
-81.0,82,50.555154
-151.0,152,51.000426
-81.0,82,51.154399
-195.0,196,51.530397
-71.0,72,51.669029
-83.0,84,51.993952
-94.0,95,52.173961
-95.0,96,52.355114
-81.0,82,52.507746
-97.0,98,52.686525
-71.0,72,52.818723
-92.0,93,53.158514
-65.0,66,53.283554
-71.0,72,53.420706
-92.0,93,53.600001
-86.0,87,53.772839
-85.0,86,53.944865
-147.0,148,54.404725
-72.0,73,54.552851
-84.0,85,54.717685
-93.0,94,54.894711
-74.0,75,55.035483
-72.0,73,55.172507
-75.0,76,55.478539
-75.0,76,55.620694
-72.0,73,55.760682
-73.0,74,55.898673
-98.0,99,56.088713
-77.0,78,56.238761
-85.0,86,56.568002
-74.0,75,56.71403
-68.0,69,56.84829
-82.0,83,57.007156
-88.0,89,57.177683
-82.0,83,57.34207
-62.0,63,57.469183
-72.0,73,57.77874
-82.0,83,57.936694
-159.0,160,58.2346
-74.0,75,58.374891
-113.0,114,58.587227
-90.0,91,58.919626
-99.0,100,59.103605
-62.0,63,59.22175
-106.0,107,59.420301
-145.0,146,59.698168
-136.0,137,60.117916
-94.0,95,60.294291
-88.0,89,60.46145
-81.0,82,60.618254
-92.0,93,60.79497
-82.0,83,61.11503
-95.0,96,61.296762
-79.0,80,61.448895
-97.0,98,61.631566
-61.0,62,61.744998
-82.0,83,61.903826
-98.0,99,62.255482
-71.0,72,62.389225
-91.0,92,62.56275
-114.0,115,62.781841
-71.0,72,62.916856
-93.0,94,63.095847
-90.0,91,63.441231
-116.0,117,63.674982
-90.0,91,63.853289
-77.0,78,64.001941
-79.0,80,64.152722
-81.0,82,64.469026
-73.0,74,64.609639
-78.0,79,64.758906
-82.0,83,64.915528
-64.0,65,65.037845
-95.0,96,65.215695
-91.0,92,65.387552
-81.0,82,65.704034
-87.0,88,65.867303
-67.0,68,65.994127
-77.0,78,66.139972
-63.0,64,66.259108
-106.0,107,66.459792
-72.0,73,66.762804
-86.0,87,66.925932
-82.0,83,67.081331
-70.0,71,67.214278
-71.0,72,67.348507
-86.0,87,67.510373
-260.0,261,68.153005
-103.0,104,68.348259
-88.0,89,68.515814
-107.0,108,68.717103
-90.0,91,69.048862
-86.0,87,69.211282
-75.0,76,69.355637
-84.0,85,69.514299
-79.0,80,69.663676
-88.0,89,69.831376
-76.0,77,70.138057
-92.0,93,70.312136
-146.0,147,70.587821
-61.0,62,70.704464
-137.0,138,70.965638
-113.0,114,71.34077
-83.0,84,71.498544
-85.0,86,71.65977
-88.0,89,71.831111
-87.0,88,71.995456
-86.0,87,72.324706
-103.0,104,72.521116
-93.0,94,72.699002
-107.0,108,72.908319
-78.0,79,73.058254
-78.0,79,73.207625
-88.0,89,73.539574
-88.0,89,73.706949
-63.0,64,73.827677
-71.0,72,73.962217
-85.0,86,74.123962
-76.0,77,74.268623
-91.0,92,74.608433
-91.0,92,74.77718
-82.0,83,74.932373
-69.0,70,75.062515
-73.0,74,75.202138
-226.0,227,75.787728
-76.0,77,75.931066
-79.0,80,76.080449
-71.0,72,76.21601
-89.0,90,76.38444
-64.0,65,76.506899
-141.0,142,76.936848
-78.0,79,77.083757
-71.0,72,77.218022
-87.0,88,77.382394
-87.0,88,77.548748
-91.0,92,77.721199
-79.0,80,78.034168
-99.0,100,78.219931
-83.0,84,78.376314
-87.0,88,78.541184
-61.0,62,78.656073
-88.0,89,78.823003
-82.0,83,79.146009
-93.0,94,79.31911
-77.0,78,79.465193
-73.0,74,79.602682
-96.0,97,79.782644
-83.0,84,79.939337
-86.0,87,80.26605
-87.0,88,80.427538
-75.0,76,80.570349
-88.0,89,80.738117
-85.0,86,80.901454
-81.0,82,81.057784
-76.0,77,81.365789
-70.0,71,81.501041
-94.0,95,81.679202
-82.0,83,81.832178
-212.0,213,82.224716
-72.0,73,82.529742
-75.0,76,82.673722
-80.0,81,82.823878
-88.0,89,82.988623
-88.0,89,83.153909
-92.0,93,83.326287
-77.0,78,83.635639
-88.0,89,83.801706
-76.0,77,83.946298
-99.0,100,84.134724
-84.0,85,84.293369
-93.0,94,84.469601
-83.0,84,84.789656
-95.0,96,84.97073
-93.0,94,85.147604
-96.0,97,85.327873
-86.0,87,85.491019
-77.0,78,85.803431
-64.0,65,85.923714
-87.0,88,86.09032
-79.0,80,86.239373
-77.0,78,86.386312
-105.0,106,86.584932
-83.0,84,87.786197
-92.0,93,87.965968
-63.0,64,88.089256
-85.0,86,88.250015
-74.0,75,88.390628
-76.0,77,88.541222
-99.0,100,88.736962
-95.0,96,89.082367
-89.0,90,89.252447
-75.0,76,89.396724
-96.0,97,89.579565
-100.0,101,89.765743
-91.0,92,90.100454
-91.0,92,90.273253
-86.0,87,90.439074
-92.0,93,90.614812
-72.0,73,90.754592
-97.0,98,90.940838
-88.0,89,91.269735
-120.0,121,91.493087
-85.0,86,91.652191
-71.0,72,91.785535
-87.0,88,91.951235
-98.0,99,92.134445
-72.0,73,92.430797
-79.0,80,92.580783
-89.0,90,92.751449
-95.0,96,92.930027
-73.0,74,93.069245
-85.0,86,93.230451
-94.0,95,93.576439
-87.0,88,93.745563
-104.0,105,93.944039
-70.0,71,94.078836
-72.0,73,94.216107
-102.0,103,94.576974
-79.0,80,94.729143
-93.0,94,94.906279
-150.0,151,95.189667
-89.0,90,95.358647
-72.0,73,95.499264
-94.0,95,95.841177
-85.0,86,96.00417
-89.0,90,96.173033
-76.0,77,96.320812
-86.0,87,96.488232
-79.0,80,96.641546
-79.0,80,96.953077
-82.0,83,97.106214
-92.0,93,97.280236
-77.0,78,97.425237
-96.0,97,97.61183
-75.0,76,97.756781
-81.0,82,98.077427
-73.0,74,98.215818
-77.0,78,98.36085
-99.0,100,98.550884
-171.0,172,98.882481
-79.0,80,99.194015
-87.0,88,99.355757
-75.0,76,99.497382
-80.0,81,99.650659
-134.0,135,99.908031
-76.0,77,100.213453
-83.0,84,100.369909
-74.0,75,100.509643
-90.0,91,100.680007
-108.0,109,100.884305
-93.0,94,101.062955
-83.0,84,101.390739
-90.0,91,101.560951
-86.0,87,101.723267
-141.0,142,101.994589
-81.0,82,102.15248
-75.0,76,102.298025
-151.0,152,102.746896
-97.0,98,102.934109
-72.0,73,103.071681
-75.0,76,103.214311
-89.0,90,103.386392
-91.0,92,103.729414
-80.0,81,103.883263
-92.0,93,104.058583
-93.0,94,104.234746
-107.0,108,104.432194
-96.0,97,104.779973
-77.0,78,104.923994
-76.0,77,105.069541
-106.0,107,105.269343
-106.0,107,105.474133
-73.0,74,105.615037
-96.0,97,105.965232
-94.0,95,106.139768
-88.0,89,106.307125
-94.0,95,106.488718
-75.0,76,106.632143
-170.0,171,107.12313
-85.0,86,107.29508
-71.0,72,107.437342
-80.0,81,107.595053
-91.0,92,107.778579
-85.0,86,107.94644
-197.0,198,108.48944
-73.0,74,108.628107
-112.0,113,108.840884
-138.0,139,109.103791
-98.0,99,109.455028
-81.0,82,109.607014
-96.0,97,109.791981
-94.0,95,109.970246
-78.0,79,110.118004
-104.0,105,110.483181
-74.0,75,110.626042
-74.0,75,110.767174
-79.0,80,110.916624
-106.0,107,111.116589
-89.0,90,111.287494
-91.0,92,111.624522
-82.0,83,111.780612
-80.0,81,111.934891
-77.0,78,112.08155
-70.0,71,112.214381
-71.0,72,112.348306
-89.0,90,112.520919
-67.0,68,112.814616
-95.0,96,112.995196
-76.0,77,113.140039
-189.0,190,113.495908
-95.0,96,113.840408
-77.0,78,113.988615
-111.0,112,114.200093
-87.0,88,114.365015
-84.0,85,114.5266
-78.0,79,114.676215
-79.0,80,114.992425
-135.0,136,115.248857
-74.0,75,115.388718
-94.0,95,115.568855
-92.0,93,115.746064
-81.0,82,115.897847
-92.0,93,116.235627
-83.0,84,116.393694
-69.0,70,116.525918
-107.0,108,116.72862
-98.0,99,116.913278
-93.0,94,117.252471
-93.0,94,117.431349
-92.0,93,117.605834
-158.0,159,117.905676
-74.0,75,118.046369
-224.0,225,118.634198
-85.0,86,118.796705
-92.0,93,118.968815
-91.0,92,119.139207
-78.0,79,119.285856
-85.0,86,119.612651
-87.0,88,119.775115
-92.0,93,119.947884
-85.0,86,120.107832
-82.0,83,120.262367
-82.0,83,120.582661
-72.0,73,120.718823
-75.0,76,120.860552
-127.0,128,121.102317
-63.0,64,121.222673
-70.0,71,121.35613
-83.0,84,121.514923
-72.0,73,121.817846
-66.0,67,121.942376
-124.0,125,122.172976
-72.0,73,122.307098
-62.0,63,122.425276
-62.0,63,122.543926
-72.0,73,122.843832
-74.0,75,122.98531
-97.0,98,123.167604
-86.0,87,123.330394
-91.0,92,123.502414
-88.0,89,123.670265
-62.0,63,123.954204
-77.0,78,124.09831
-71.0,72,124.230776
-71.0,72,124.364145
-77.0,78,124.507537
