# {"t_start": 1592860559.4410286, "env_id": "Acrobot-v1"} 
r,l,t
-103.0,104,1.61867
-88.0,89,1.788648
-74.0,75,1.931193
-89.0,90,2.106217
-82.0,83,2.260697
-125.0,126,2.666203
-84.0,85,2.825624
-92.0,93,2.997916
-80.0,81,3.148829
-82.0,83,3.303219
-82.0,83,3.460409
-80.0,81,3.780072
-71.0,72,3.920023
-70.0,71,4.05664
-78.0,79,4.208374
-96.0,97,4.399352
-93.0,94,4.57942
-87.0,88,4.908377
-78.0,79,5.059069
-92.0,93,5.232402
-146.0,147,5.506444
-134.0,135,5.754551
-82.0,83,6.077886
-60.0,61,6.19455
-88.0,89,6.3641
-71.0,72,6.495718
-72.0,73,6.628805
-76.0,77,6.769529
-95.0,96,7.109411
-121.0,122,7.332652
-115.0,116,7.545106
-92.0,93,7.714534
-87.0,88,7.875525
-79.0,80,8.184214
-80.0,81,8.336962
-93.0,94,8.509547
-99.0,100,8.69176
-86.0,87,8.850442
-63.0,64,8.968947
-108.0,109,9.338324
-114.0,115,9.552205
-76.0,77,9.698208
-73.0,74,9.83866
-72.0,73,9.976895
-100.0,101,10.164591
-76.0,77,10.469916
-77.0,78,10.614861
-76.0,77,10.757998
-102.0,103,10.950522
-85.0,86,11.109647
-79.0,80,11.258289
-87.0,88,11.584232
-81.0,82,11.739207
-88.0,89,11.90291
-91.0,92,12.073047
-82.0,83,12.22896
-127.0,128,12.468856
-78.0,79,12.779968
-97.0,98,12.962576
-81.0,82,13.115083
-72.0,73,13.250535
-81.0,82,13.403586
-114.0,115,13.781492
-107.0,108,13.986319
-76.0,77,14.132579
-72.0,73,14.268602
-81.0,82,14.4268
-77.0,78,14.573077
-86.0,87,14.897629
-74.0,75,15.038732
-89.0,90,15.206898
-74.0,75,15.347828
-134.0,135,15.598733
-75.0,76,15.74046
-63.0,64,16.024442
-84.0,85,16.185695
-91.0,92,16.357991
-88.0,89,16.524537
-63.0,64,16.644124
-95.0,96,16.823195
-95.0,96,17.16418
-80.0,81,17.312505
-73.0,74,17.449295
-75.0,76,17.591012
-86.0,87,17.752033
-107.0,108,17.954503
-151.0,152,18.405276
-100.0,101,18.592653
-63.0,64,18.711352
-88.0,89,18.882121
-80.0,81,19.036441
-68.0,69,19.169617
-73.0,74,19.47417
-86.0,87,19.636881
-80.0,81,19.787438
-70.0,71,19.920167
-67.0,68,20.047228
-73.0,74,20.185871
-83.0,84,20.509083
-62.0,63,20.628486
-85.0,86,20.789169
-95.0,96,20.970139
-93.0,94,21.146089
-88.0,89,21.311307
-97.0,98,21.656788
-90.0,91,21.826618
-73.0,74,21.963003
-90.0,91,22.133148
-88.0,89,22.298502
-125.0,126,22.533255
-74.0,75,22.835762
-93.0,94,23.009644
-92.0,93,23.185186
-70.0,71,23.317854
-79.0,80,23.467109
-81.0,82,23.619101
-77.0,78,23.928545
-155.0,156,24.220412
-85.0,86,24.381624
-74.0,75,24.522014
-84.0,85,24.681058
-92.0,93,25.01603
-75.0,76,25.157591
-87.0,88,25.322024
-79.0,80,25.469945
-89.0,90,25.638548
-72.0,73,25.775155
-77.0,78,25.922434
-84.0,85,26.244673
-62.0,63,26.361217
-72.0,73,26.498102
-171.0,172,26.810581
