# {"t_start": 1592860559.437815, "env_id": "Acrobot-v1"} 
r,l,t
-93.0,94,1.602888
-112.0,113,1.818851
-96.0,97,2.00749
-99.0,100,2.194669
-74.0,75,2.336721
-87.0,88,2.669376
-101.0,102,2.860328
-104.0,105,3.05477
-75.0,76,3.19566
-97.0,98,3.381152
-85.0,86,3.705736
-133.0,134,3.967443
-85.0,86,4.132909
-72.0,73,4.273963
-77.0,78,4.428715
-78.0,79,4.578841
-81.0,82,4.896576
-89.0,90,5.068132
-75.0,76,5.210181
-93.0,94,5.38272
-90.0,91,5.553665
-111.0,112,5.759653
-85.0,86,6.088835
-84.0,85,6.251706
-96.0,97,6.433374
-78.0,79,6.577157
-72.0,73,6.710602
-127.0,128,7.108768
-88.0,89,7.272025
-78.0,79,7.416571
-76.0,77,7.557328
-79.0,80,7.702875
-153.0,154,7.984778
-92.0,93,8.321058
-78.0,79,8.467302
-83.0,84,8.620333
-91.0,92,8.788093
-74.0,75,8.925063
-71.0,72,9.061378
-63.0,64,9.345433
-121.0,122,9.57214
-73.0,74,9.712802
-71.0,72,9.849347
-83.0,84,10.007859
-92.0,93,10.180654
-73.0,74,10.480656
-83.0,84,10.63678
-86.0,87,10.798584
-72.0,73,10.935042
-98.0,99,11.118384
-84.0,85,11.276756
-82.0,83,11.592914
-67.0,68,11.71716
-75.0,76,11.861554
-186.0,187,12.20966
-138.0,139,12.470154
-71.0,72,12.768386
-74.0,75,12.907724
-76.0,77,13.051262
-73.0,74,13.188558
-98.0,99,13.373271
-87.0,88,13.536716
-91.0,92,13.872559
-94.0,95,14.053805
-74.0,75,14.195374
-94.0,95,14.373198
-89.0,90,14.546099
-88.0,89,14.71377
-101.0,102,15.066243
-81.0,82,15.219372
-65.0,66,15.343028
-98.0,99,15.5272
-86.0,87,15.689704
-76.0,77,15.835357
-88.0,89,16.166549
-84.0,85,16.325209
-91.0,92,16.497813
-79.0,80,16.647327
-73.0,74,16.785183
-69.0,70,16.916374
-108.0,109,17.278935
-145.0,146,17.549566
-83.0,84,17.705095
-99.0,100,17.892297
-61.0,62,18.009311
-82.0,83,18.330344
-83.0,84,18.4854
-143.0,144,18.754723
-83.0,84,18.915911
-103.0,104,19.114676
-84.0,85,19.441736
-73.0,74,19.58044
-75.0,76,19.722224
-80.0,81,19.873043
-85.0,86,20.033432
-174.0,175,20.527891
-91.0,92,20.700927
-78.0,79,20.848637
-84.0,85,21.008863
-96.0,97,21.190497
-88.0,89,21.355121
-100.0,101,21.705981
-87.0,88,21.870202
-83.0,84,22.025687
-153.0,154,22.313039
-94.0,95,22.489903
-129.0,130,22.894954
-97.0,98,23.077007
-77.0,78,23.223779
-92.0,93,23.397398
-105.0,106,23.593796
-73.0,74,23.895977
-78.0,79,24.044368
-107.0,108,24.246182
-78.0,79,24.394298
-82.0,83,24.549442
-111.0,112,24.759535
-83.0,84,25.076014
-93.0,94,25.252082
-69.0,70,25.382854
-93.0,94,25.557478
-87.0,88,25.722119
-89.0,90,25.891424
