# {"t_start": 1592779759.3544068, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-108.081765,999,3.068416
27.922782,667,4.420198
51.589625,511,5.375597
-104.173587,999,7.263925
46.187352,571,8.323821
41.011239,553,9.350497
60.634493,376,10.095318
66.01468,345,10.636317
65.695301,356,11.369478
48.866647,498,12.314162
59.974448,359,13.045699
65.833528,291,13.500046
69.654481,325,14.176218
70.096844,348,14.886265
56.626211,399,15.516917
60.869496,417,16.337733
79.455714,167,16.600827
71.273829,288,17.215588
67.261538,333,17.899669
61.360779,334,18.412805
74.976089,221,18.918499
64.332501,338,19.451724
64.231119,361,20.186688
77.772135,186,20.651556
69.819268,293,21.112286
46.005897,515,22.088407
65.252857,296,22.716297
42.511074,563,23.762732
76.126767,243,24.141901
58.142115,374,24.896909
68.355793,268,25.320222
75.509507,224,25.837648
74.136696,204,26.160976
55.027302,412,26.983809
64.428368,300,27.621684
65.503728,289,28.081156
74.431136,184,28.539093
73.957743,209,28.866599
65.580799,329,29.537276
67.771703,298,30.003579
63.840432,299,30.642664
68.562862,270,31.055308
69.867474,245,31.598641
75.772254,199,31.91042
57.393916,404,32.707656
71.29163,234,33.080182
66.481604,325,33.752688
79.675912,223,34.26786
65.075519,371,34.843504
65.826955,315,35.502603
75.100604,198,35.814807
80.514524,187,36.278704
64.15268,296,36.742213
79.265427,207,37.224918
77.443666,230,37.586609
78.653052,184,37.875244
77.348242,206,38.369082
66.586984,303,38.845774
66.912446,288,39.466357
72.795441,276,40.078596
69.946213,335,40.606657
77.987517,202,41.088188
56.503273,366,41.660448
74.283545,208,42.15312
67.825486,311,42.637893
68.262561,283,43.23577
76.594448,198,43.534853
72.645627,204,44.012218
75.458565,224,44.358037
74.553239,232,44.883019
74.610771,215,45.212742
78.372074,192,45.509123
75.096257,199,45.979961
75.591341,200,46.287367
70.894777,243,46.833861
75.184926,204,47.149546
74.27102,216,47.482363
74.018474,194,47.953577
64.983266,263,48.362964
67.922772,262,48.941993
65.345591,240,49.317629
74.164497,290,49.946418
71.996848,226,50.295347
66.739253,311,50.952366
74.016488,206,51.275191
83.205474,151,51.677903
81.460618,180,51.963491
73.998985,222,52.315742
60.452227,314,52.968975
74.494776,234,53.330661
76.285939,221,53.840878
68.375858,309,54.326685
75.077506,202,54.812693
