# {"t_start": 1592863188.715977, "env_id": "MountainCarContinuous-v0"} 
r,l,t
88.930855,78,1.569565
88.31251,79,1.691187
88.540161,79,1.814062
87.022486,77,1.934062
89.312443,77,2.054224
86.708351,85,2.186844
87.64564,84,2.484491
89.682871,78,2.608862
88.361871,79,2.734521
87.919445,78,2.858563
88.971088,79,2.983316
89.466484,77,3.103471
88.437587,96,3.419305
89.315009,79,3.543327
88.352938,76,3.663823
89.188064,79,3.789632
89.053822,76,3.911211
89.050444,76,4.03252
88.632762,78,4.155721
88.27083,77,4.438015
89.293257,77,4.558208
88.132467,79,4.679041
81.444837,153,4.91947
88.411802,78,5.040445
87.646919,83,5.329309
88.871996,76,5.449934
88.459038,77,5.571629
90.020241,77,5.693492
87.014846,90,5.836918
88.764652,77,5.958407
88.808725,77,6.080073
89.327398,76,6.362303
88.842413,75,6.479431
89.301239,76,6.595632
89.508294,76,6.713592
88.457976,75,6.83046
86.766515,82,6.959025
86.152927,89,7.259447
88.667532,75,7.377782
88.347446,78,7.500208
88.766094,78,7.62161
87.233824,79,7.744757
87.196679,78,7.868788
87.575266,81,7.996758
88.340806,78,8.28331
88.510948,78,8.404811
90.823503,76,8.528795
87.826291,77,8.648677
87.129319,79,8.770709
88.906992,77,8.893014
86.785114,80,9.0153
87.476753,75,9.299257
88.792749,78,9.423477
89.006214,82,9.554475
87.217673,86,9.691257
89.907942,75,9.811794
90.117086,76,9.932602
90.931847,76,10.214556
88.17101,80,10.341061
88.002815,79,10.465864
87.385277,77,10.586231
88.131672,80,10.714109
87.025607,76,10.836231
88.433613,77,10.959215
89.530666,78,11.247741
89.866558,76,11.371861
87.080493,80,11.500208
88.797498,77,11.623237
88.505833,79,11.750519
88.299866,77,11.87464
89.674793,76,12.160343
87.094113,81,12.290673
90.854322,76,12.414562
87.308572,80,12.54394
88.576333,78,12.66853
87.96542,78,12.790393
88.353649,76,12.911339
88.371329,81,13.203875
89.413686,78,13.328142
87.763864,77,13.450106
86.625263,79,13.57557
89.99551,76,13.696863
88.678938,77,13.818597
87.877794,80,14.107299
88.672964,75,14.229079
88.098778,78,14.352499
89.365894,79,14.478561
88.170367,83,14.608819
88.714895,76,14.731252
88.367315,78,14.857543
90.358103,77,15.14333
89.060233,76,15.264854
87.353475,85,15.400716
88.562962,76,15.521214
89.242836,75,15.637868
87.732176,77,15.758379
88.288672,87,16.055962
87.820908,81,16.183715
88.84423,78,16.305558
87.833821,77,16.428061
87.910415,83,16.560956
88.223567,77,16.684039
88.580808,77,16.805304
87.954706,77,17.089654
87.008258,76,17.210447
80.628077,154,17.448711
87.574296,91,17.591036
88.776145,73,17.700587
88.295375,91,18.006385
88.879103,76,18.12645
87.032759,77,18.24874
88.794065,77,18.371375
87.666155,79,18.497496
88.818868,87,18.639442
87.346287,85,18.775218
86.762435,76,19.0562
88.959595,79,19.181865
88.559773,82,19.310807
86.749889,76,19.430725
89.8881,80,19.557637
88.279683,75,19.675834
88.389708,76,19.959693
87.84133,75,20.07922
88.494825,76,20.200972
87.778705,76,20.32272
88.741078,89,20.464749
86.637804,75,20.583656
89.262923,76,20.702921
88.14126,76,20.986009
88.395509,77,21.110854
87.402383,77,21.235578
89.011494,77,21.356092
88.078889,75,21.474312
87.981463,75,21.591382
86.436583,78,21.873026
86.923671,78,21.997856
89.336252,78,22.122501
88.275466,78,22.243603
87.497474,81,22.370013
87.231074,76,22.490159
88.878484,78,22.618437
89.725534,76,22.900057
88.535432,75,23.01851
88.904323,77,23.137335
88.171279,84,23.270738
88.998231,75,23.389102
88.421881,84,23.522748
88.908668,84,23.814607
90.343713,77,23.937357
88.422601,83,24.07052
87.303414,75,24.192288
88.780951,80,24.320745
89.752779,77,24.441518
82.755647,153,24.848138
89.322216,77,24.967055
89.843669,80,25.091836
89.616543,78,25.213607
87.460245,79,25.337876
87.57276,77,25.457618
88.63519,75,25.576765
90.364156,77,25.860718
89.674548,78,25.983976
90.801485,97,26.139812
80.865765,150,26.376325
90.396789,78,26.500767
87.920155,95,26.811515
89.599044,78,26.934646
88.262488,79,27.057128
90.149215,77,27.177422
88.073106,79,27.300889
89.178716,76,27.421271
88.273071,90,27.72926
88.840702,80,27.854306
89.561037,75,27.973254
89.73411,76,28.093007
88.87068,79,28.217528
89.893214,77,28.337547
90.387987,77,28.459196
88.557967,80,28.749249
88.641312,81,28.878453
88.571093,75,28.998062
89.16239,76,29.11803
89.216008,77,29.239858
86.656145,130,29.445108
89.235232,77,29.728848
87.444056,75,29.848652
90.163359,76,29.971663
88.25119,74,30.088902
88.701743,75,30.205944
89.617204,77,30.328955
88.80954,82,30.619837
88.595862,84,30.755535
88.390848,84,30.888117
88.910343,77,31.012289
87.724466,78,31.137405
89.40019,95,31.2901
90.405939,75,31.410587
87.214291,75,31.693014
88.927591,78,31.817806
88.419712,78,31.943239
89.271975,76,32.066432
90.498518,79,32.193686
87.921501,78,32.316133
89.562466,85,32.615256
87.922181,86,32.751853
88.487782,77,32.873001
89.539258,93,33.019982
89.355527,88,33.159921
90.43316,76,33.276659
87.382337,77,33.557827
88.059797,78,33.67917
87.996656,82,33.806736
88.234864,90,33.946926
88.115391,88,34.08563
88.942273,76,34.208391
90.249661,77,34.331943
89.20234,77,34.614784
88.382989,82,34.740474
90.461885,77,34.861694
89.451421,75,34.981812
91.217727,75,35.101846
88.713536,76,35.219697
88.540994,80,35.507934
87.696673,79,35.633869
89.327382,78,35.755392
87.407492,77,35.875214
89.68786,75,35.992679
87.484919,77,36.115172
87.913771,76,36.23758
89.542301,77,36.523108
86.990338,110,36.697033
89.221259,78,36.820278
90.45396,79,36.944712
87.861243,76,37.065513
88.299409,77,37.188889
87.343126,89,37.493549
86.341967,111,37.668389
91.258695,76,37.78699
87.28436,76,37.907889
89.203932,76,38.029788
88.743775,82,38.160878
79.796391,162,38.581527
89.093054,77,38.703158
88.413354,76,38.824318
89.984882,77,38.945643
88.84812,75,39.067301
89.042498,75,39.18605
90.016216,77,39.473172
88.784526,79,39.601773
88.483632,87,39.744022
89.358961,75,39.864635
90.277347,77,39.988851
89.733311,77,40.113367
88.387635,77,40.398027
87.066368,79,40.524919
87.685521,80,40.65104
88.018481,79,40.775304
87.2834,76,40.894535
87.540312,83,41.025637
88.454084,75,41.145403
89.96371,76,41.430089
88.950186,75,41.549543
90.046504,77,41.66999
87.085267,77,41.788043
87.982219,76,41.908157
90.524997,81,42.036458
88.682871,76,42.313374
88.646084,76,42.434487
89.256095,80,42.564939
87.82855,75,42.686149
89.424948,77,42.810649
80.081887,165,43.079866
88.55836,82,43.3704
87.874312,86,43.508232
89.127415,76,43.632071
87.419028,77,43.756364
89.030156,76,43.878547
87.590926,77,44.00219
88.582028,78,44.291091
88.73114,77,44.416936
88.726676,88,44.557479
89.015578,72,44.672242
88.123729,79,44.799511
87.868717,76,44.922222
88.40063,77,45.045552
87.320461,73,45.322985
89.828061,77,45.445545
88.431203,75,45.564723
87.735511,79,45.689141
89.39764,74,45.806176
88.755646,78,45.928937
89.464104,86,46.065979
89.67246,77,46.349327
89.937716,77,46.470923
87.919236,76,46.589333
86.934749,76,46.710131
88.26504,77,46.832356
89.083986,75,46.95204
89.754017,79,47.236252
89.780376,80,47.362379
88.752234,77,47.484689
89.544324,75,47.603382
89.66941,75,47.72257
88.383184,84,47.856297
87.539269,91,48.002292
88.647981,76,48.288573
88.164487,79,48.413732
88.534796,76,48.535205
88.961377,76,48.656732
87.60802,95,48.808972
89.172482,74,48.927316
88.807213,77,49.212744
87.975335,83,49.344507
88.578359,84,49.477805
88.91605,77,49.601427
87.539793,79,49.728063
87.568951,83,49.858589
87.731827,84,50.150831
88.793602,77,50.274474
88.653451,77,50.396779
88.606469,77,50.519218
88.448267,83,50.651346
89.00177,79,50.776467
88.598497,77,50.898376
88.658839,76,51.179532
88.619048,78,51.302476
88.116378,75,51.419319
88.739153,76,51.53702
89.216969,82,51.664953
89.144621,77,51.78596
88.033646,75,51.903524
79.522081,174,52.339159
78.741387,186,52.630309
89.552328,75,52.743981
89.800114,77,52.866841
87.961699,86,53.168052
89.700015,79,53.293325
90.473445,75,53.412721
88.918184,86,53.548057
87.459501,75,53.667956
89.970652,76,53.787583
89.947516,75,54.069743
88.275508,79,54.196147
90.174644,74,54.314783
87.949608,76,54.436838
90.64937,75,54.561187
87.855941,80,54.689342
88.914319,76,54.808265
89.453395,75,55.087281
88.846454,89,55.227734
89.917608,76,55.34685
88.203162,76,55.466482
88.656362,75,55.585624
88.210536,78,55.712296
88.270782,80,56.001118
89.053205,78,56.126998
88.969793,74,56.242947
88.959283,90,56.382902
89.297316,79,56.509686
88.7795,76,56.630892
87.647093,82,56.760705
88.709593,76,57.046014
88.000041,76,57.168546
88.440008,75,57.288164
88.978763,85,57.424449
89.060406,84,57.556431
89.470206,77,57.674557
90.167522,77,57.953355
88.265493,79,58.076338
86.821158,74,58.191426
87.518065,78,58.31446
89.064376,78,58.437983
88.134401,80,58.56302
88.539487,76,58.684715
88.938263,76,58.965103
89.978152,73,59.081873
88.674182,78,59.205921
88.526214,75,59.327175
89.256287,76,59.449108
87.672929,78,59.575155
89.628178,74,59.693175
90.001552,74,59.971111
87.526079,76,60.090511
90.370815,74,60.206323
89.632123,76,60.326455
90.985335,76,60.446147
89.425629,94,60.594491
88.333948,74,60.872978
88.299063,90,61.013608
88.779932,74,61.130139
88.754713,76,61.249641
88.610485,77,61.371243
89.86734,77,61.493139
87.798191,83,61.6285
83.535147,167,62.054366
88.664579,78,62.179264
88.026926,75,62.29791
88.517102,76,62.418286
88.382951,80,62.544777
88.474036,78,62.830152
88.578022,77,62.952823
90.035753,75,63.072184
88.410502,84,63.203166
89.993455,75,63.32253
89.412403,78,63.443287
87.964391,82,63.572381
89.040927,78,63.854512
87.859199,76,63.975278
87.172974,74,64.09381
87.906803,80,64.21587
89.1885,76,64.337578
88.172565,78,64.461636
88.501751,82,64.752905
88.398171,77,64.874411
87.912121,101,65.033398
87.21335,88,65.173853
89.729795,76,65.292588
81.497939,149,65.530423
88.745165,77,65.815302
88.686835,76,65.93524
88.808705,78,66.057929
88.697201,85,66.195387
89.873472,75,66.316092
89.811216,75,66.435263
89.088459,76,66.717839
89.0813,76,66.838653
89.462857,79,66.964351
88.392108,77,67.086676
90.5873,77,67.209361
90.388471,76,67.330189
89.017285,77,67.453912
86.471104,112,67.795052
89.716943,90,67.937661
88.769434,75,68.054202
89.205118,75,68.170234
88.917459,78,68.292129
87.754123,77,68.414996
87.791433,77,68.701188
89.770023,74,68.818818
90.244251,75,68.937702
87.864127,76,69.05641
87.280841,95,69.205302
88.283246,75,69.321838
89.611961,80,69.605336
88.463607,76,69.722606
88.726486,75,69.836962
89.160095,79,69.96236
88.982304,78,70.087746
88.576354,78,70.210941
89.492648,77,70.332508
88.408215,76,70.617669
90.698706,74,70.735838
89.952133,77,70.85344
89.185503,78,70.975349
89.601762,77,71.098876
88.39934,75,71.218803
90.063926,75,71.339194
89.090648,76,71.622773
88.173701,77,71.745352
88.488899,84,71.879734
88.220035,77,72.002469
89.419565,76,72.124167
88.372387,78,72.249552
88.587048,78,72.541163
87.899476,76,72.664372
90.10847,76,72.784904
88.198224,77,72.907362
79.876783,156,73.153497
89.222009,74,73.271297
90.022187,75,73.553324
87.594561,78,73.674773
87.984361,74,73.790942
86.383708,76,73.908604
89.190859,91,74.050469
87.893706,78,74.172372
89.902817,80,74.464863
88.65561,79,74.595678
88.692789,76,74.716814
89.571549,83,74.848957
87.502243,74,74.968137
88.947738,75,75.088502
89.391785,74,75.206559
89.94692,80,75.497446
87.042137,73,75.613621
89.199639,75,75.734493
87.52725,80,75.86246
89.520728,75,75.982144
87.303585,74,76.098891
89.267918,84,76.232205
90.087372,81,76.52337
88.963278,76,76.645762
88.749958,76,76.76722
88.999212,74,76.885604
88.686887,76,77.005659
89.055395,79,77.131203
88.324872,76,77.414743
88.940068,77,77.539872
89.328741,76,77.659012
88.834343,81,77.78148
89.426441,74,77.897152
90.151392,77,78.02016
89.551622,80,78.149075
89.649187,78,78.433262
88.601565,82,78.562329
90.334181,76,78.681573
89.949396,82,78.814011
88.796718,75,78.935216
89.857113,72,79.050202
89.742629,77,79.172169
88.954222,76,79.456066
90.484133,76,79.575336
88.331068,78,79.699216
89.718644,77,79.819563
90.05815,79,79.942714
88.047262,77,80.066432
87.294445,77,80.355543
90.584023,77,80.478298
89.940097,76,80.600729
88.051239,77,80.724158
89.201411,76,80.846767
87.971106,84,80.982167
88.812641,77,81.107341
88.299698,86,81.404742
90.327485,75,81.52439
90.183776,83,81.658596
89.473813,74,81.777681
90.012058,77,81.900277
91.117671,75,82.017361
89.711468,88,82.32234
90.480608,75,82.442688
88.682605,74,82.56395
89.84477,76,82.685359
89.161501,75,82.805633
87.782893,76,82.926097
89.589828,76,83.047231
89.759151,120,83.398534
88.850468,79,83.520926
89.521708,80,83.647188
89.46673,76,83.767667
89.117033,73,83.88312
89.508772,77,84.005505
89.376168,73,84.281173
90.729212,76,84.402976
89.820476,75,84.524149
89.857265,75,84.644236
89.574701,76,84.764033
90.309065,73,84.878237
89.398469,73,84.992797
89.858982,80,85.281125
89.523776,79,85.404924
90.469321,76,85.524491
89.620049,85,85.660129
89.453738,79,85.78676
88.523432,77,85.909885
90.03242,78,86.192797
89.934605,75,86.312902
87.778814,78,86.437547
88.992683,75,86.560119
90.182294,86,86.696394
90.052894,78,86.819278
90.518658,75,86.937151
89.736062,82,87.229341
90.084946,75,87.348812
90.856494,77,87.470243
91.394529,88,87.608928
88.968686,79,87.737462
89.069606,75,87.856966
88.254545,78,88.141795
88.732569,80,88.269801
84.181828,156,88.517506
88.286793,83,88.650085
90.14185,76,88.769342
90.062597,78,88.893712
90.341128,74,89.174735
89.398259,78,89.300302
90.355659,77,89.418472
90.420501,77,89.541469
90.554432,73,89.659254
88.694316,76,89.782222
89.661816,81,89.90826
89.609813,75,90.189012
88.608739,74,90.30678
89.124925,74,90.419956
88.866024,75,90.536776
89.678194,73,90.651204
89.915537,78,90.775715
90.067853,77,91.059703
90.326567,75,91.179449
89.742661,76,91.299941
88.682736,76,91.419199
90.372357,75,91.536005
90.980694,76,91.656604
90.296122,75,91.773905
89.651047,78,92.059709
89.688825,74,92.174712
90.06905,77,92.29851
88.815681,79,92.422723
