# {"t_start": 1592859484.5887573, "env_id": "Acrobot-v1"} 
r,l,t
-73.0,74,1.583115
-98.0,99,1.768198
-78.0,79,1.914861
-70.0,71,2.049776
-76.0,77,2.192794
-81.0,82,2.347972
-95.0,96,2.693254
-82.0,83,2.847484
-73.0,74,2.98397
-80.0,81,3.132905
-93.0,94,3.303467
-204.0,205,3.841025
-64.0,65,3.956974
-76.0,77,4.099151
-73.0,74,4.234724
-84.0,85,4.391436
-69.0,70,4.516861
-99.0,100,4.866546
-86.0,87,5.027981
-80.0,81,5.179375
-73.0,74,5.314897
-78.0,79,5.460185
-74.0,75,5.594269
-96.0,97,5.939391
-80.0,81,6.088654
-70.0,71,6.218874
-87.0,88,6.381073
-74.0,75,6.515645
-95.0,96,6.694945
-71.0,72,6.992944
-90.0,91,7.164954
-77.0,78,7.308524
-84.0,85,7.468761
-82.0,83,7.622733
-77.0,78,7.768776
-87.0,88,7.934214
-76.0,77,8.241892
-83.0,84,8.403756
-87.0,88,8.561429
-150.0,151,8.844438
-99.0,100,9.031507
-79.0,80,9.347573
-87.0,88,9.509411
-90.0,91,9.676216
-75.0,76,9.818201
-109.0,110,10.024915
-96.0,97,10.374337
-79.0,80,10.522167
-97.0,98,10.706592
-102.0,103,10.897444
-83.0,84,11.052733
-69.0,70,11.185886
-84.0,85,11.510541
-67.0,68,11.632473
-84.0,85,11.786577
-81.0,82,11.933791
-89.0,90,12.102122
-158.0,159,12.405399
-72.0,73,12.707126
-80.0,81,12.856883
-93.0,94,13.031199
-87.0,88,13.195981
-93.0,94,13.37081
-101.0,102,13.729473
-79.0,80,13.878037
-73.0,74,14.01472
-231.0,232,14.450935
-98.0,99,14.638707
-193.0,194,15.168833
-92.0,93,15.342705
-127.0,128,15.582079
-71.0,72,15.718946
-72.0,73,16.017749
-132.0,133,16.264762
-98.0,99,16.453769
-106.0,107,16.658266
-142.0,143,17.091694
-61.0,62,17.210191
-78.0,79,17.358588
-79.0,80,17.508946
-89.0,90,17.680097
-95.0,96,17.862495
-101.0,102,18.052601
-78.0,79,18.369913
-71.0,72,18.502503
-70.0,71,18.634487
-76.0,77,18.775625
-84.0,85,18.933339
-81.0,82,19.082526
-78.0,79,19.397057
-85.0,86,19.555601
-73.0,74,19.692034
-63.0,64,19.810718
-78.0,79,19.956498
-83.0,84,20.112644
-94.0,95,20.455785
-91.0,92,20.627709
-99.0,100,20.812303
-86.0,87,20.974409
-86.0,87,21.137328
-71.0,72,21.272271
-81.0,82,21.588771
-99.0,100,21.775787
-132.0,133,22.01954
-99.0,100,22.204786
-82.0,83,22.360349
-87.0,88,22.691541
-73.0,74,22.829005
-93.0,94,23.004864
-74.0,75,23.141655
-92.0,93,23.315137
-77.0,78,23.460076
-89.0,90,23.625253
-149.0,150,24.066846
-80.0,81,24.215873
-91.0,92,24.386869
-80.0,81,24.536053
-75.0,76,24.677853
-72.0,73,24.976851
-72.0,73,25.11338
-77.0,78,25.256854
-81.0,82,25.409384
-79.0,80,25.558043
-77.0,78,25.705709
-76.0,77,25.84906
-90.0,91,26.186636
-107.0,108,26.388139
-96.0,97,26.568975
-74.0,75,26.711581
-79.0,80,26.858161
-118.0,119,27.248817
-86.0,87,27.412544
-92.0,93,27.589611
-78.0,79,27.737188
-88.0,89,27.906193
-76.0,77,28.049157
-105.0,106,28.415752
-82.0,83,28.570014
-90.0,91,28.740539
-267.0,268,29.245981
-82.0,83,29.56949
-199.0,200,29.94845
-69.0,70,30.077677
-82.0,83,30.231402
-77.0,78,30.375001
-87.0,88,30.718744
-101.0,102,30.91445
-75.0,76,31.058728
-74.0,75,31.201047
-79.0,80,31.348375
-84.0,85,31.507256
-94.0,95,31.856694
-93.0,94,32.034391
-186.0,187,32.382152
-97.0,98,32.565591
-75.0,76,32.872993
-84.0,85,33.03199
-100.0,101,33.218951
-96.0,97,33.397294
-71.0,72,33.53077
-86.0,87,33.692548
-70.0,71,33.990068
-92.0,93,34.159045
-61.0,62,34.273715
-83.0,84,34.430838
-90.0,91,34.600302
-82.0,83,34.754734
-105.0,106,35.115239
-82.0,83,35.270373
-86.0,87,35.430745
-139.0,140,35.692857
