# {"t_start": 1592775341.2744546, "env_id": "CartPole-v0"} 
r,l,t
21.0,21,1.470258
18.0,18,1.500505
29.0,29,1.54499
25.0,25,1.584095
23.0,23,1.619825
17.0,17,1.646173
59.0,59,1.738931
18.0,18,1.767097
14.0,14,1.789871
22.0,22,1.823684
16.0,16,1.848125
15.0,15,1.870871
18.0,18,1.899835
13.0,13,1.919829
18.0,18,1.947192
28.0,28,1.991639
16.0,16,2.016407
13.0,13,2.036612
12.0,12,2.055067
42.0,42,2.12134
10.0,10,2.136749
28.0,28,2.181004
47.0,47,2.498633
41.0,41,2.564273
16.0,16,2.590237
20.0,20,2.621495
54.0,54,2.707056
15.0,15,2.729558
20.0,20,2.760608
22.0,22,2.795955
30.0,30,2.842548
12.0,12,2.861146
12.0,12,2.880233
39.0,39,2.942819
10.0,10,2.958309
31.0,31,3.008071
13.0,13,3.028132
13.0,13,3.048394
18.0,18,3.07628
21.0,21,3.110067
24.0,24,3.147788
24.0,24,3.18589
33.0,33,3.237773
13.0,13,3.257893
23.0,23,3.458344
14.0,14,3.481454
51.0,51,3.565144
36.0,36,3.622207
12.0,12,3.640893
21.0,21,3.674455
21.0,21,3.708496
55.0,55,3.794429
42.0,42,3.860049
24.0,24,3.897432
14.0,14,3.919196
85.0,85,4.051371
27.0,27,4.092824
17.0,17,4.120292
30.0,30,4.167897
12.0,12,4.186822
31.0,31,4.236317
14.0,14,4.257976
35.0,35,4.479937
11.0,11,4.497975
35.0,35,4.552226
15.0,15,4.57576
22.0,22,4.611301
49.0,49,4.686776
40.0,40,4.75098
39.0,39,4.812948
41.0,41,4.878384
13.0,13,4.89938
44.0,44,4.970375
37.0,37,5.028873
47.0,47,5.103134
32.0,32,5.155714
33.0,33,5.209359
25.0,25,5.419169
13.0,13,5.440921
25.0,25,5.481884
39.0,39,5.544776
131.0,131,5.749521
28.0,28,5.792926
30.0,30,5.840256
19.0,19,5.868896
24.0,24,5.906768
17.0,17,5.933604
102.0,102,6.092509
10.0,10,6.109127
22.0,22,6.143932
15.0,15,6.167358
48.0,48,6.406586
139.0,139,6.630227
16.0,16,6.655763
46.0,46,6.728672
15.0,15,6.756291
46.0,46,6.870517
30.0,30,6.925936
21.0,21,6.969277
50.0,50,7.073332
67.0,67,7.179148
36.0,36,7.236316
15.0,15,7.259426
47.0,47,7.500993
100.0,100,7.664997
51.0,51,7.747329
96.0,96,7.902943
39.0,39,7.965277
18.0,18,7.998413
141.0,141,8.223637
61.0,61,8.486015
95.0,95,8.635671
200.0,200,8.948777
50.0,50,9.026916
27.0,27,9.069293
200.0,200,9.55121
200.0,200,9.880383
27.0,27,9.929768
145.0,145,10.157244
200.0,200,10.637304
37.0,37,10.69437
200.0,200,11.009844
38.0,38,11.070724
79.0,79,11.194047
159.0,159,11.623001
200.0,200,11.941413
108.0,108,12.115632
200.0,200,12.657347
186.0,186,12.951504
200.0,200,13.435583
200.0,200,13.756216
162.0,162,14.012001
126.0,126,14.211047
34.0,34,14.430199
140.0,140,14.652092
200.0,200,14.973005
140.0,140,15.196166
200.0,200,15.675344
169.0,169,15.940705
141.0,141,16.160412
180.0,180,16.611298
185.0,185,16.898947
200.0,200,17.382275
200.0,200,17.697628
168.0,168,17.963477
200.0,200,18.452607
192.0,192,18.754304
164.0,164,19.017657
171.0,171,19.454021
200.0,200,19.772417
200.0,200,20.258852
200.0,200,20.58192
200.0,200,20.900574
169.0,169,21.350776
200.0,200,21.664178
200.0,200,21.980504
200.0,200,22.466191
200.0,200,22.78441
174.0,174,23.223843
200.0,200,23.540533
200.0,200,23.859905
200.0,200,24.347493
200.0,200,24.669843
200.0,200,24.98712
200.0,200,25.472908
169.0,169,25.740915
200.0,200,26.219005
181.0,181,26.504104
200.0,200,26.817497
200.0,200,27.29986
200.0,200,27.616853
200.0,200,27.933898
200.0,200,28.418201
200.0,200,28.740277
200.0,200,29.228248
200.0,200,29.54894
200.0,200,29.872116
200.0,200,30.354109
200.0,200,30.675628
200.0,200,31.16173
200.0,200,31.476109
200.0,200,31.792752
200.0,200,32.285616
200.0,200,32.604627
200.0,200,33.087821
200.0,200,33.407933
200.0,200,33.727008
200.0,200,34.212859
151.0,151,34.454462
200.0,200,34.777609
200.0,200,35.262033
200.0,200,35.578219
200.0,200,36.053199
200.0,200,36.369098
200.0,200,36.687686
190.0,190,37.151713
200.0,200,37.468477
200.0,200,37.953956
200.0,200,38.270545
178.0,178,38.553657
177.0,177,39.004018
200.0,200,39.325457
200.0,200,39.641022
200.0,200,40.129852
200.0,200,40.453423
191.0,191,40.938434
200.0,200,41.256024
