# {"t_start": 1592782368.5881112, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.47395
-500.0,500,3.616302
-500.0,500,5.005843
-500.0,500,6.420505
-500.0,500,7.69457
-500.0,500,9.036396
-500.0,500,10.294428
-500.0,500,11.575672
-500.0,500,12.772809
-500.0,500,14.00223
-500.0,500,15.195579
-500.0,500,16.414109
-500.0,500,17.658457
-493.0,494,18.88371
-500.0,500,20.211786
-466.0,467,21.31042
-343.0,344,22.156083
-288.0,289,22.72543
-309.0,310,23.512656
-357.0,358,24.398966
-252.0,253,24.974744
-195.0,196,25.393864
-180.0,181,25.973293
-324.0,325,26.666171
-165.0,166,27.196116
-236.0,237,27.655033
-197.0,198,28.219553
-187.0,188,28.586428
-114.0,115,28.810336
-187.0,188,29.355452
-162.0,163,29.681675
-168.0,169,30.017395
-148.0,149,30.484328
-249.0,250,30.967369
-135.0,136,31.231924
-194.0,195,31.776285
-129.0,130,32.031681
-140.0,141,32.341531
-179.0,180,32.885577
-252.0,253,33.3781
-120.0,121,33.611135
-127.0,128,34.033267
-210.0,211,34.453685
-153.0,154,34.791298
-139.0,140,35.294804
-137.0,138,35.563106
-127.0,128,35.822541
-111.0,112,36.049739
-137.0,138,36.493776
-149.0,150,36.845948
-152.0,153,37.16331
-132.0,133,37.437269
-147.0,148,37.977188
-233.0,234,38.467643
-122.0,123,38.753474
-128.0,129,39.211066
-237.0,238,39.672165
-187.0,188,40.040636
-144.0,145,40.529316
-134.0,135,40.798646
-119.0,120,41.061294
-134.0,135,41.375623
-121.0,122,41.850022
-112.0,113,42.080893
-125.0,126,42.326129
-125.0,126,42.605811
-112.0,113,43.035374
-139.0,140,43.331413
-116.0,117,43.574459
-124.0,125,43.820013
-123.0,124,44.257782
-116.0,117,44.530063
-99.0,100,44.753772
-105.0,106,44.980196
-130.0,131,45.501689
-116.0,117,45.821199
-108.0,109,46.128381
-108.0,109,46.432866
-148.0,149,46.747879
-131.0,132,47.204722
