# {"t_start": 1592863969.5239217, "env_id": "MountainCarContinuous-v0"} 
r,l,t
89.339233,80,1.566789
88.582754,81,1.696523
89.733194,77,1.821022
88.113947,78,1.947517
87.442679,79,2.074781
89.596912,83,2.206524
88.63191,83,2.511461
87.962959,81,2.642696
88.005389,77,2.769595
89.07743,80,2.901529
89.397698,75,3.019716
87.794125,90,3.165595
81.842443,162,3.598689
87.538675,83,3.733966
86.868086,78,3.859517
86.898199,79,3.9902
90.359003,77,4.118959
88.974119,79,4.248224
88.122407,79,4.544157
81.049462,160,4.812271
87.665257,94,4.970002
87.145787,89,5.11911
88.838702,90,5.267941
87.513867,88,5.582642
88.078011,76,5.707384
86.279261,78,5.834092
80.359741,163,6.102381
88.219707,79,6.23416
88.622929,74,6.523373
79.961428,172,6.808367
88.195128,81,6.942611
85.833938,79,7.073143
87.218906,88,7.219889
88.077338,77,7.514403
89.174413,82,7.650179
88.60912,78,7.779118
87.721059,85,7.921112
87.566719,78,8.048638
88.815556,84,8.185641
87.138848,81,8.31682
80.512904,158,8.73855
87.392476,78,8.863142
85.80104,78,8.988413
86.744286,84,9.124017
86.870482,78,9.250145
87.529951,84,9.551396
87.864319,79,9.678795
87.034007,79,9.808976
89.390531,75,9.930471
87.336211,79,10.058403
87.050006,79,10.18491
88.649773,78,10.312074
88.197587,79,10.605897
88.479708,77,10.729679
88.506587,77,10.852524
86.876801,78,10.979106
88.87073,77,11.106781
86.424579,78,11.233011
87.476341,78,11.525739
88.5295,79,11.655508
87.511096,101,11.822929
88.465119,75,11.947367
87.640228,78,12.076403
86.813075,78,12.204132
87.39952,74,12.488897
86.362698,82,12.623779
86.822116,83,12.760352
86.257439,79,12.889755
88.057324,81,13.023475
89.154777,78,13.150799
88.470423,81,13.286554
86.505988,81,13.58745
86.852216,76,13.712795
89.588352,77,13.837971
88.267939,76,13.963001
86.927948,78,14.093115
87.136808,78,14.220584
87.037103,82,14.522352
89.283856,75,14.648131
86.320829,91,14.795128
87.766423,78,14.922795
87.496016,82,15.057024
88.995467,77,15.181547
78.143437,159,15.610389
87.150382,79,15.739446
86.782974,114,15.925239
88.005134,78,16.05337
87.709152,76,16.177376
87.212439,77,16.303901
89.112742,82,16.609471
86.420017,78,16.736367
87.546046,76,16.858015
88.75606,79,16.985631
89.231581,77,17.107474
88.059732,80,17.236168
86.578771,78,17.53216
87.816621,76,17.65664
88.276194,89,17.803664
88.765787,80,17.935435
88.888454,78,18.061838
87.136962,76,18.185104
88.3196,77,18.310707
87.416943,81,18.608616
88.596418,76,18.732227
89.201337,83,18.866062
86.916833,78,18.992303
88.394226,78,19.117925
88.20883,78,19.248067
89.408855,79,19.542809
88.074924,89,19.686633
91.263373,81,19.819804
81.396041,144,20.053064
88.207748,79,20.183826
88.194904,78,20.311484
88.947918,82,20.609162
87.109972,98,20.768288
88.437323,99,20.929364
87.014813,82,21.06149
89.925933,76,21.186049
87.489886,74,21.306687
90.014175,76,21.601889
88.341588,76,21.732335
88.787927,75,21.854545
87.014176,81,21.986697
88.675763,92,22.139412
88.745176,81,22.272371
90.554704,75,22.562663
88.83489,77,22.692811
88.300111,86,22.837409
80.048278,144,23.078161
89.15295,79,23.207571
90.388078,76,23.334592
87.738558,83,23.63702
88.477992,75,23.759156
87.99283,77,23.884149
88.62734,76,24.00784
89.94008,79,24.139432
86.955121,76,24.266546
88.395914,85,24.57672
89.124399,78,24.705805
89.203947,94,24.861844
89.04757,79,24.993117
89.152532,79,25.124127
89.508036,78,25.253926
88.200869,93,25.405388
89.32735,78,25.699351
89.144628,79,25.827217
88.127954,78,25.950061
89.889034,76,26.072369
89.461519,77,26.198458
90.172798,76,26.322714
88.355731,76,26.609834
87.435559,113,26.796319
90.5187,78,26.924469
88.946881,77,27.053218
83.090524,151,27.303202
90.012119,76,27.597643
89.250373,75,27.719062
86.514417,83,27.856652
89.841788,85,27.995749
91.237255,76,28.121089
89.644112,84,28.258358
88.114652,79,28.388687
88.635677,79,28.689475
89.043902,112,28.865346
87.699668,76,28.990468
87.76428,82,29.125868
89.752672,75,29.251125
87.617765,81,29.386272
89.495948,82,29.689015
89.439397,75,29.812567
87.500573,78,29.940989
88.296087,86,30.081154
88.081881,73,30.201844
87.929938,83,30.338502
86.391268,122,30.703077
89.39653,77,30.829391
88.426144,76,30.954406
88.87256,76,31.079787
88.579289,78,31.208533
83.569508,146,31.449916
86.827808,82,31.748846
86.472815,73,31.867582
89.019822,76,31.992741
88.397548,77,32.119452
89.865397,76,32.241778
88.165233,78,32.36991
87.274672,78,32.658427
87.0604,77,32.780317
88.255406,78,32.902547
87.932452,76,33.028903
89.249392,82,33.163405
89.77288,76,33.28683
87.793386,75,33.408996
88.42966,79,33.700537
88.395087,76,33.825936
86.240668,83,33.961417
89.081886,76,34.085929
88.479223,78,34.21391
89.375981,75,34.337706
90.091731,76,34.629159
89.236401,79,34.764332
88.733594,77,34.890562
88.929579,76,35.014655
80.72011,168,35.294131
88.129091,79,35.425486
88.87164,76,35.720597
90.105945,76,35.848165
89.389577,77,35.977257
88.515572,78,36.108472
88.102082,78,36.237436
88.798561,75,36.362314
89.39246,76,36.485118
87.419934,88,36.794561
89.296658,75,36.913839
88.061947,78,37.039334
89.401725,78,37.167662
89.225246,78,37.295473
87.873309,79,37.427589
89.649081,75,37.718092
88.791574,76,37.845181
88.81151,80,37.979023
89.562362,77,38.106348
89.948293,84,38.244881
88.066047,77,38.369515
88.478843,77,38.496569
88.881011,75,38.785584
90.557023,73,38.906376
88.382754,80,39.038748
86.795818,77,39.164788
88.970978,76,39.290622
88.411585,98,39.453105
88.20579,76,39.746035
89.551321,74,39.867044
88.655775,78,39.995886
85.568236,120,40.193014
88.578251,80,40.324625
87.411773,76,40.451822
90.016079,77,40.74264
88.917993,81,40.873584
87.91219,82,41.008927
88.958677,78,41.138172
88.789348,73,41.258777
89.268913,78,41.38563
88.44141,76,41.511632
88.790292,77,41.805272
87.844498,74,41.927132
89.051306,79,42.056645
87.802178,80,42.189398
88.14221,77,42.314784
87.166212,82,42.449796
86.268523,97,42.774733
88.832531,81,42.905028
88.411871,77,43.027628
88.602074,78,43.155333
86.675058,92,43.30438
88.980895,74,43.425421
89.440724,76,43.718862
89.233412,76,43.844661
79.335937,163,44.112278
88.535819,80,44.243616
88.163396,77,44.369617
88.50105,78,44.497188
89.344132,77,44.786552
89.408518,75,44.905194
89.744455,85,45.037427
89.281607,76,45.162677
90.939653,76,45.288781
89.099574,75,45.412289
89.851137,75,45.535453
87.26996,80,45.832098
89.842553,76,45.956805
89.433722,80,46.089462
89.642866,89,46.235473
88.445325,94,46.386498
89.98354,73,46.507607
89.095425,76,46.801779
89.181103,77,46.927506
88.050293,83,47.066196
90.785791,76,47.195449
88.740752,81,47.332323
89.686229,85,47.470461
90.575501,77,47.77147
88.650911,118,47.966762
89.421698,79,48.094817
85.214522,139,48.323499
88.936277,75,48.446611
81.660907,154,48.867253
89.617233,76,48.988867
89.144045,75,49.107171
89.469839,76,49.233603
87.459563,81,49.368183
87.467663,113,49.555289
89.416416,74,49.845485
89.438024,79,49.978223
91.089866,75,50.102018
89.068993,78,50.233059
88.760814,78,50.359497
88.841331,89,50.503174
88.624583,77,50.794718
88.787862,78,50.91941
89.94377,76,51.045219
88.004403,81,51.178013
88.745409,76,51.30408
89.261591,77,51.430814
89.536582,85,51.572443
90.272174,76,51.867139
88.475505,76,51.991486
88.890611,76,52.118707
90.876798,76,52.246162
90.994786,75,52.369343
89.39709,82,52.505255
88.214744,118,52.872549
89.404549,87,53.01745
90.348242,78,53.144652
88.169795,78,53.271246
89.925712,78,53.399791
90.657872,73,53.520417
89.728741,76,53.811673
88.478342,77,53.940251
90.532783,75,54.061081
90.11217,77,54.186717
89.361629,76,54.312945
88.743303,77,54.441281
90.179087,75,54.565884
90.244576,77,54.856641
