# {"t_start": 1592780233.2459471, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.235537
-500.0,500,3.301654
-500.0,500,4.378824
-500.0,500,5.472469
-500.0,500,6.531713
-479.0,480,7.550681
-500.0,500,8.607526
-500.0,500,9.655929
-500.0,500,10.718007
-500.0,500,11.767016
-413.0,414,12.682715
-500.0,500,13.741078
-500.0,500,14.789071
-500.0,500,15.834707
-457.0,458,16.801415
-343.0,344,17.573955
-262.0,263,18.035758
-377.0,378,18.861018
-283.0,284,19.36991
-219.0,220,19.918436
-332.0,333,20.513856
-331.0,332,21.26472
-260.0,261,21.885928
-229.0,230,22.302654
-229.0,230,22.713219
-219.0,220,23.265996
-213.0,214,23.647388
-246.0,247,24.240176
-172.0,173,24.545506
-201.0,202,25.063477
-109.0,110,25.261189
-181.0,182,25.584762
-175.0,176,25.897188
-145.0,146,26.315544
-112.0,113,26.515731
-147.0,148,26.777853
-129.0,130,27.01424
-190.0,191,27.516734
-109.0,110,27.712069
-111.0,112,27.911087
-90.0,91,28.074195
-129.0,130,28.465573
-121.0,122,28.680069
-130.0,131,28.914599
-111.0,112,29.117309
-158.0,159,29.564811
-128.0,129,29.795055
-125.0,126,30.024438
-129.0,130,30.414532
-92.0,93,30.577397
-123.0,124,30.793784
-162.0,163,31.078195
-93.0,94,31.243447
-115.0,116,31.610886
-124.0,125,31.833975
-119.0,120,32.051186
-133.0,134,32.294323
-96.0,97,32.625675
-119.0,120,32.835788
-140.0,141,33.091101
-135.0,136,33.333694
-132.0,133,33.743758
-95.0,96,33.914862
-151.0,152,34.186378
-118.0,119,34.398513
-132.0,133,34.795747
-141.0,142,35.044183
-113.0,114,35.246954
-115.0,116,35.458573
-116.0,117,35.824569
-119.0,120,36.034606
-115.0,116,36.242278
-156.0,157,36.527502
-118.0,119,36.90098
-124.0,125,37.122418
-155.0,156,37.407449
-125.0,126,37.633466
-123.0,124,38.019141
-128.0,129,38.250117
-101.0,102,38.435112
-126.0,127,38.665968
-143.0,144,39.079374
-146.0,147,39.342804
-110.0,111,39.543009
-151.0,152,39.81148
-109.0,110,40.17078
-112.0,113,40.367586
-112.0,113,40.569596
-201.0,202,40.927298
-93.0,94,41.252084
-116.0,117,41.455627
-108.0,109,41.645636
-101.0,102,41.827027
-135.0,136,42.227798
-102.0,103,42.41026
-106.0,107,42.604556
-113.0,114,42.803392
-90.0,91,42.965233
-137.0,138,43.368585
-129.0,130,43.600548
-114.0,115,43.80556
-126.0,127,44.031808
-83.0,84,44.183139
-94.0,95,44.521246
-132.0,133,44.752129
-98.0,99,44.924784
-137.0,138,45.165706
-122.0,123,45.542103
-124.0,125,45.760525
-118.0,119,45.967466
-98.0,99,46.141447
-88.0,89,46.306138
-116.0,117,46.673991
-103.0,104,46.862801
-97.0,98,47.038538
-128.0,129,47.270804
-113.0,114,47.634203
-81.0,82,47.776556
-121.0,122,47.990683
-84.0,85,48.145144
-136.0,137,48.39363
-125.0,126,48.784251
-100.0,101,48.966833
-127.0,128,49.198684
-88.0,89,49.362946
-136.0,137,49.771296
-120.0,121,49.987388
-102.0,103,50.171839
-100.0,101,50.351991
