# {"t_start": 1592780233.2425318, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.238916
-500.0,500,3.305134
-500.0,500,4.381986
-500.0,500,5.475884
-500.0,500,6.535077
-500.0,500,7.589903
-500.0,500,8.646669
-500.0,500,9.694487
-500.0,500,10.757037
-500.0,500,11.806039
-500.0,500,12.875749
-500.0,500,13.934344
-309.0,310,14.642146
-500.0,500,15.686749
-247.0,248,16.127635
-391.0,392,16.978406
-305.0,306,17.681793
-237.0,238,18.099922
-186.0,187,18.42976
-306.0,307,19.136181
-298.0,299,19.825977
-309.0,310,20.378854
-218.0,219,20.931875
-360.0,361,21.572576
-226.0,227,22.13869
-145.0,146,22.400781
-291.0,292,23.086827
-154.0,155,23.35884
-260.0,261,23.98057
-165.0,166,24.271379
-127.0,128,24.496985
-156.0,157,24.776414
-148.0,149,25.202265
-187.0,188,25.536287
-214.0,215,25.917958
-118.0,119,26.28869
-144.0,145,26.545835
-161.0,162,26.833323
-202.0,203,27.361081
-170.0,171,27.665662
-124.0,125,27.887965
-140.0,141,28.299153
-117.0,118,28.509917
-117.0,118,28.717389
-101.0,102,28.89962
-126.0,127,29.129579
-95.0,96,29.465395
-180.0,181,29.787748
-126.0,127,30.018712
-110.0,111,30.216989
-119.0,120,30.586136
-134.0,135,30.821723
-123.0,124,31.03814
-144.0,145,31.2936
-108.0,109,31.647844
-110.0,111,31.846456
-151.0,152,32.120512
-134.0,135,32.367443
-87.0,88,32.679697
-128.0,129,32.908316
-117.0,118,33.120361
-111.0,112,33.320635
-103.0,104,33.678691
-109.0,110,33.876041
-107.0,108,34.067636
-126.0,127,34.295604
-140.0,141,34.706243
-214.0,215,35.084512
-138.0,139,35.336511
-104.0,105,35.524639
-203.0,204,36.041605
-126.0,127,36.269119
-101.0,102,36.455705
-137.0,138,36.864048
-98.0,99,37.036793
-103.0,104,37.226309
-162.0,163,37.521734
-116.0,117,37.733089
-149.0,150,38.164185
-102.0,103,38.349058
-149.0,150,38.622071
-116.0,117,38.830181
-99.0,100,39.168897
-89.0,90,39.328393
-107.0,108,39.523077
-118.0,119,39.732021
-96.0,97,39.909207
-104.0,105,40.254205
-88.0,89,40.41031
-114.0,115,40.615622
-92.0,93,40.780159
-96.0,97,40.952081
-123.0,124,41.329004
-111.0,112,41.523679
-86.0,87,41.675195
-99.0,100,41.853651
-101.0,102,42.036524
-141.0,142,42.446519
-116.0,117,42.656739
-83.0,84,42.803241
-104.0,105,42.989933
-138.0,139,43.394586
-124.0,125,43.617985
-112.0,113,43.819669
-117.0,118,44.029924
-88.0,89,44.190146
-256.0,257,44.809561
-88.0,89,44.964896
-116.0,117,45.169182
-101.0,102,45.509076
-134.0,135,45.744643
-108.0,109,45.934488
-167.0,168,46.234094
-106.0,107,46.58501
-101.0,102,46.769501
-96.0,97,46.944652
-94.0,95,47.11647
-123.0,124,47.339254
-109.0,110,47.693024
-89.0,90,47.849863
-86.0,87,48.00306
-110.0,111,48.20593
-108.0,109,48.402852
-123.0,124,48.789447
-91.0,92,48.955986
-89.0,90,49.117568
-117.0,118,49.334753
-121.0,122,49.557
-99.0,100,49.895961
-103.0,104,50.082304
-176.0,177,50.397383
-95.0,96,50.568956
-92.0,93,50.89334
-81.0,82,51.042791
-106.0,107,51.234392
-108.0,109,51.428308
-123.0,124,51.648036
-96.0,97,51.979389
-102.0,103,52.159076
-82.0,83,52.308329
-93.0,94,52.477018
-110.0,111,52.676973
-87.0,88,52.992659
-122.0,123,53.21224
-117.0,118,53.422725
-107.0,108,53.615811
-149.0,150,54.045323
-108.0,109,54.236971
-101.0,102,54.418772
-105.0,106,54.608947
-166.0,167,54.906528
-95.0,96,55.248715
-73.0,74,55.377607
-275.0,276,55.858594
-112.0,113,56.218118
-101.0,102,56.396556
-93.0,94,56.565669
-81.0,82,56.712009
-75.0,76,56.847379
-83.0,84,56.997005
-129.0,130,57.384274
-112.0,113,57.584716
-85.0,86,57.740445
-85.0,86,57.893175
-88.0,89,58.056204
-98.0,99,58.392932
-109.0,110,58.587222
-124.0,125,58.810784
-84.0,85,58.966399
-108.0,109,59.162093
-87.0,88,59.478772
-128.0,129,59.710408
-93.0,94,59.879058
-81.0,82,60.027261
-89.0,90,60.187691
-97.0,98,60.520624
-148.0,149,60.785069
-106.0,107,60.979977
-82.0,83,61.129411
-107.0,108,61.322763
-90.0,91,61.649462
-81.0,82,61.792332
-97.0,98,61.965685
-107.0,108,62.163692
-159.0,160,62.45371
-185.0,186,62.947392
-97.0,98,63.121347
-87.0,88,63.279556
-108.0,109,63.480076
-111.0,112,63.840775
-91.0,92,64.005992
-89.0,90,64.166879
-92.0,93,64.331649
-80.0,81,64.476527
-104.0,105,64.824528
-81.0,82,64.972229
