# {"t_start": 1592778262.8519967, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.255577
-500.0,500,3.319618
-500.0,500,4.373979
-500.0,500,5.429247
-500.0,500,6.470126
-500.0,500,7.523366
-500.0,500,8.569407
-500.0,500,9.618959
-500.0,500,10.653157
-500.0,500,11.697098
-363.0,364,12.512209
-500.0,500,13.564967
-500.0,500,14.621717
-500.0,500,15.667062
-500.0,500,16.706451
-361.0,362,17.509712
-399.0,400,18.221454
-253.0,254,18.828034
-359.0,360,19.626524
-190.0,191,19.972035
-273.0,274,20.457796
-209.0,210,20.991997
-152.0,153,21.265938
-184.0,185,21.75736
-251.0,252,22.207236
-250.0,251,22.829931
-209.0,210,23.199988
-196.0,197,23.547929
-136.0,137,23.94682
-155.0,156,24.218345
-153.0,154,24.490464
-149.0,150,24.756753
-224.0,225,25.315602
-171.0,172,25.624648
-197.0,198,26.140641
-175.0,176,26.446849
-164.0,165,26.73484
-138.0,139,27.138026
-134.0,135,27.373649
-117.0,118,27.579096
-172.0,173,27.881999
-106.0,107,28.233342
-142.0,143,28.495351
-150.0,151,28.764149
-129.0,130,28.999454
-142.0,143,29.411735
-104.0,105,29.599581
-152.0,153,29.873413
-113.0,114,30.07683
-140.0,141,30.485893
-125.0,126,30.710711
-166.0,167,31.007656
-120.0,121,31.381392
-119.0,120,31.599684
-115.0,116,31.806227
-123.0,124,32.026929
-147.0,148,32.449559
-107.0,108,32.64246
-120.0,121,32.853043
-166.0,167,33.15137
-143.0,144,33.58022
-142.0,143,33.830734
-155.0,156,34.109337
-191.0,192,34.611637
-104.0,105,34.794684
-142.0,143,35.043921
-95.0,96,35.211323
-100.0,101,35.394487
-123.0,124,35.775291
-108.0,109,35.968404
-98.0,99,36.144184
-115.0,116,36.354998
-87.0,88,36.513412
-128.0,129,36.901216
-102.0,103,37.087619
-97.0,98,37.269186
-114.0,115,37.476593
-122.0,123,37.853327
-92.0,93,38.01917
-86.0,87,38.173454
-113.0,114,38.375828
-112.0,113,38.577783
-108.0,109,38.937257
-116.0,117,39.157023
-145.0,146,39.429493
-109.0,110,39.628903
-112.0,113,39.991724
-109.0,110,40.19586
-78.0,79,40.34248
-114.0,115,40.554115
-100.0,101,40.739437
-112.0,113,41.101814
-99.0,100,41.285363
-101.0,102,41.473293
-79.0,80,41.616476
-100.0,101,41.79593
-84.0,85,41.948148
-114.0,115,42.314261
-146.0,147,42.580297
-142.0,143,42.835151
-110.0,111,43.034789
-116.0,117,43.402723
-107.0,108,43.595984
-97.0,98,43.77036
-77.0,78,43.910909
-97.0,98,44.085269
-74.0,75,44.392694
-84.0,85,44.544873
-76.0,77,44.68376
-101.0,102,44.866736
-82.0,83,45.014912
-101.0,102,45.2011
-171.0,172,45.66484
-116.0,117,45.871451
-96.0,97,46.043832
-79.0,80,46.187465
-89.0,90,46.509883
-85.0,86,46.663082
-100.0,101,46.843982
-125.0,126,47.069396
-105.0,106,47.258764
-121.0,122,47.639214
-91.0,92,47.803442
-101.0,102,47.987561
-111.0,112,48.188665
-86.0,87,48.345108
-76.0,77,48.639727
-102.0,103,48.823902
-104.0,105,49.012304
-146.0,147,49.274909
-92.0,93,49.442702
-103.0,104,49.789889
-95.0,96,49.957016
-83.0,84,50.107563
-82.0,83,50.255873
-91.0,92,50.420088
-99.0,100,50.59718
-99.0,100,50.937754
-84.0,85,51.090029
-114.0,115,51.296131
-111.0,112,51.493209
-99.0,100,51.67259
-94.0,95,51.999462
-95.0,96,52.177245
-108.0,109,52.36965
-104.0,105,52.55845
-198.0,199,53.075959
-96.0,97,53.249237
-122.0,123,53.470696
-95.0,96,53.642828
-116.0,117,54.014303
-102.0,103,54.197925
-84.0,85,54.351185
-152.0,153,54.632416
-88.0,89,54.794387
-92.0,93,55.12763
-102.0,103,55.307303
-102.0,103,55.488813
-70.0,71,55.617371
-186.0,187,55.958879
-95.0,96,56.298374
-107.0,108,56.491162
-93.0,94,56.658181
-105.0,106,56.851283
-94.0,95,57.019823
-87.0,88,57.331899
-74.0,75,57.462799
-150.0,151,57.731643
-100.0,101,57.911396
-92.0,93,58.077486
-85.0,86,58.391913
-76.0,77,58.525796
-98.0,99,58.698939
-87.0,88,58.854323
-97.0,98,59.030361
-114.0,115,59.394745
-97.0,98,59.568126
-108.0,109,59.76225
-102.0,103,59.94498
-101.0,102,60.127338
-97.0,98,60.461885
-113.0,114,60.661455
-101.0,102,60.839469
-85.0,86,60.98907
-148.0,149,61.257336
-91.0,92,61.575159
-98.0,99,61.748227
-86.0,87,61.903821
-84.0,85,62.05827
-87.0,88,62.215148
-103.0,104,62.407093
-80.0,81,62.715596
-89.0,90,62.872608
-103.0,104,63.054017
-93.0,94,63.222113
-79.0,80,63.370329
-103.0,104,63.719748
-88.0,89,63.875113
-84.0,85,64.023855
-105.0,106,64.209417
-171.0,172,64.516981
-81.0,82,64.820952
-82.0,83,64.966235
-91.0,92,65.127672
-98.0,99,65.301776
-106.0,107,65.497348
-96.0,97,65.841449
-135.0,136,66.078769
-96.0,97,66.25475
-80.0,81,66.401292
-80.0,81,66.548797
-99.0,100,66.888886
-111.0,112,67.097134
-214.0,215,67.481874
-111.0,112,67.685576
-85.0,86,67.997246
-120.0,121,68.21739
-120.0,121,68.432634
-85.0,86,68.586826
-106.0,107,68.77914
-80.0,81,69.081918
-107.0,108,69.27084
-146.0,147,69.535102
-97.0,98,69.710201
-80.0,81,69.855066
-93.0,94,70.188318
-90.0,91,70.350774
-101.0,102,70.531452
-92.0,93,70.69697
-91.0,92,70.860814
-97.0,98,71.035312
-123.0,124,71.410217
-93.0,94,71.578035
-90.0,91,71.745475
-140.0,141,72.009524
-109.0,110,72.380261
-80.0,81,72.535707
-117.0,118,72.761788
-91.0,92,72.939754
