# {"t_start": 1592778262.8436427, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.26398
-500.0,500,3.327877
-496.0,497,4.376899
-500.0,500,5.43224
-500.0,500,6.473001
-500.0,500,7.526153
-500.0,500,8.572404
-500.0,500,9.621829
-500.0,500,10.656241
-500.0,500,11.699908
-500.0,500,12.758102
-495.0,496,13.805166
-500.0,500,14.861511
-432.0,433,15.783255
-201.0,202,16.143654
-439.0,440,17.075988
-210.0,211,17.612762
-337.0,338,18.213577
-218.0,219,18.757926
-338.0,339,19.361766
-218.0,219,19.913746
-230.0,231,20.323447
-287.0,288,20.996706
-239.0,240,21.426881
-302.0,303,22.127647
-152.0,153,22.405463
-194.0,195,22.922395
-197.0,198,23.271194
-152.0,153,23.541771
-216.0,217,24.080307
-194.0,195,24.423451
-190.0,191,24.761549
-161.0,162,25.20766
-132.0,133,25.445776
-184.0,185,25.781592
-111.0,112,26.140178
-127.0,128,26.362808
-134.0,135,26.59719
-127.0,128,26.821535
-123.0,124,27.198909
-129.0,130,27.425429
-150.0,151,27.688708
-157.0,158,28.123858
-121.0,122,28.347977
-149.0,150,28.619767
-178.0,179,28.942237
-119.0,120,29.311522
-163.0,164,29.606101
-144.0,145,29.865632
-125.0,126,30.090602
-144.0,145,30.50685
-134.0,135,30.747403
-164.0,165,31.041534
-179.0,180,31.523099
-152.0,153,31.796652
-95.0,96,31.967675
-125.0,126,32.192591
-137.0,138,32.598461
-96.0,97,32.767428
-133.0,134,33.002152
-141.0,142,33.260129
-139.0,140,33.677397
-153.0,154,33.94977
-131.0,132,34.186379
-114.0,115,34.393467
-127.0,128,34.77517
-87.0,88,34.92847
-116.0,117,35.132067
-119.0,120,35.346575
-228.0,229,35.912825
-144.0,145,36.172672
-121.0,122,36.393918
-121.0,122,36.771033
-102.0,103,36.955402
-106.0,107,37.147683
-111.0,112,37.355924
-122.0,123,37.574924
-87.0,88,37.889799
-104.0,105,38.07715
-151.0,152,38.346575
-96.0,97,38.520447
-98.0,99,38.698581
-123.0,124,39.089142
-112.0,113,39.304992
-102.0,103,39.491928
-92.0,93,39.660701
-101.0,102,40.003773
-138.0,139,40.261662
-106.0,107,40.459351
-119.0,120,40.67961
-94.0,95,40.853768
-118.0,119,41.227226
-96.0,97,41.40655
-97.0,98,41.583285
-108.0,109,41.777427
-120.0,121,42.150878
-124.0,125,42.379197
-107.0,108,42.574346
-187.0,188,42.910728
-87.0,88,43.068833
-114.0,115,43.432514
-143.0,144,43.69097
-109.0,110,43.886591
-95.0,96,44.058269
-87.0,88,44.388304
-97.0,98,44.564274
-110.0,111,44.764245
-98.0,99,44.941459
-152.0,153,45.218342
-93.0,94,45.541338
-82.0,83,45.691105
-119.0,120,45.903049
-99.0,100,46.081169
-106.0,107,46.273681
-110.0,111,46.632908
-119.0,120,46.846984
-108.0,109,47.041786
-173.0,174,47.353681
-127.0,128,47.744356
-94.0,95,47.914628
-115.0,116,48.123185
-103.0,104,48.310088
-100.0,101,48.648047
-109.0,110,48.844863
-108.0,109,49.039728
-112.0,113,49.241629
-77.0,78,49.382849
-101.0,102,49.728363
-89.0,90,49.885357
-93.0,94,50.050852
-92.0,93,50.217342
-81.0,82,50.364706
-101.0,102,50.544737
-115.0,116,50.914088
-89.0,90,51.074505
-91.0,92,51.239537
-90.0,91,51.401073
-100.0,101,51.580027
-92.0,93,51.902175
-82.0,83,52.053021
-123.0,124,52.279509
-106.0,107,52.469131
-73.0,74,52.603618
-123.0,124,52.986014
-85.0,86,53.140126
-112.0,113,53.341799
-106.0,107,53.53508
-92.0,93,53.701495
-109.0,110,54.059721
-76.0,77,54.197048
-90.0,91,54.361367
-161.0,162,54.659209
-95.0,96,54.833066
-80.0,81,55.144658
-91.0,92,55.305142
-101.0,102,55.484453
-84.0,85,55.638292
-101.0,102,55.825664
-103.0,104,56.176525
-114.0,115,56.385499
-99.0,100,56.566521
-100.0,101,56.746667
-225.0,226,57.307021
-169.0,170,57.603898
-82.0,83,57.753845
-94.0,95,57.923191
-77.0,78,58.062431
-150.0,151,58.490879
-82.0,83,58.635332
-126.0,127,58.859028
-103.0,104,59.045813
-85.0,86,59.201396
-84.0,85,59.50955
-86.0,87,59.663699
-104.0,105,59.850136
-95.0,96,60.021039
