# {"t_start": 1592778262.8401227, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.267505
-500.0,500,3.331419
-500.0,500,4.38577
-500.0,500,5.441096
-500.0,500,6.481912
-500.0,500,7.535113
-500.0,500,8.58117
-500.0,500,9.630749
-500.0,500,10.664969
-500.0,500,11.708889
-500.0,500,12.766853
-500.0,500,13.821153
-500.0,500,14.878049
-485.0,486,15.891399
-480.0,481,16.897683
-500.0,500,17.950574
-286.0,287,18.614904
-358.0,359,19.25587
-280.0,281,19.917214
-200.0,201,20.273637
-216.0,217,20.816867
-318.0,319,21.391189
-385.0,386,22.240887
-171.0,172,22.551929
-249.0,250,23.163391
-160.0,161,23.447324
-189.0,190,23.94123
-168.0,169,24.235435
-194.0,195,24.580559
-149.0,150,25.004382
-232.0,233,25.420202
-127.0,128,25.650879
-148.0,149,26.080862
-202.0,203,26.43406
-152.0,153,26.700677
-206.0,207,27.223443
-159.0,160,27.502037
-149.0,150,27.764277
-155.0,156,28.198856
-168.0,169,28.508961
-158.0,159,28.791526
-135.0,136,29.03818
-155.0,156,29.473978
-146.0,147,29.736673
-162.0,163,30.028851
-130.0,131,30.418981
-144.0,145,30.67842
-132.0,133,30.914759
-135.0,136,31.157094
-144.0,145,31.578
-111.0,112,31.776948
-152.0,153,32.049493
-94.0,95,32.218952
-113.0,114,32.582756
-117.0,118,32.788684
-128.0,129,33.014708
-121.0,122,33.236611
-122.0,123,33.625128
-96.0,97,33.794404
-122.0,123,34.013744
-119.0,120,34.230007
-143.0,144,34.644578
-104.0,105,34.8274
-116.0,117,35.031277
-122.0,123,35.247304
-106.0,107,35.44128
-368.0,369,36.25772
-92.0,93,36.426277
-142.0,143,36.839769
-96.0,97,37.015371
-118.0,119,37.233705
-97.0,98,37.410854
-101.0,102,37.592859
-103.0,104,37.936179
-124.0,125,38.158139
-116.0,117,38.366148
-92.0,93,38.532966
-128.0,129,38.926042
-124.0,125,39.161229
-110.0,111,39.370547
-96.0,97,39.546397
-98.0,99,39.726679
-75.0,76,40.022381
-116.0,117,40.239408
-96.0,97,40.419106
-166.0,167,40.725284
-135.0,136,41.130153
-97.0,98,41.310163
-114.0,115,41.520711
-99.0,100,41.699311
-113.0,114,41.903167
-108.0,109,42.256388
-124.0,125,42.485043
-113.0,114,42.688014
-129.0,130,42.92135
-118.0,119,43.292926
-91.0,92,43.457509
-103.0,104,43.644146
-89.0,90,43.80341
-124.0,125,44.027344
-145.0,146,44.461131
-132.0,133,44.70104
-130.0,131,44.936054
-113.0,114,45.14327
-121.0,122,45.516921
-125.0,126,45.742439
-119.0,120,45.953551
-106.0,107,46.145729
-133.0,134,46.546881
-88.0,89,46.705077
-109.0,110,46.901988
-101.0,102,47.084647
-104.0,105,47.272454
-82.0,83,47.582105
-102.0,103,47.766836
-100.0,101,47.948839
-128.0,129,48.180604
-109.0,110,48.378751
-87.0,88,48.692895
-88.0,89,48.851981
-132.0,133,49.09005
-120.0,121,49.306796
-135.0,136,49.713346
-94.0,95,49.880164
-116.0,117,50.087044
-82.0,83,50.235347
-87.0,88,50.393201
-98.0,99,50.567806
-92.0,93,50.895902
-106.0,107,51.087155
-107.0,108,51.280856
-90.0,91,51.44168
-96.0,97,51.614404
-116.0,117,51.98021
-82.0,83,52.13482
-80.0,81,52.279295
-94.0,95,52.447629
-87.0,88,52.607129
-80.0,81,52.755218
-82.0,83,53.060918
-88.0,89,53.220535
-111.0,112,53.420982
-101.0,102,53.604358
-196.0,197,54.117636
-101.0,102,54.302504
-106.0,107,54.496938
-102.0,103,54.686713
-89.0,90,54.848741
-83.0,84,55.165592
-91.0,92,55.326259
-128.0,129,55.555174
-104.0,105,55.749239
-90.0,91,55.911344
-101.0,102,56.264225
-103.0,104,56.449139
-93.0,94,56.617256
-112.0,113,56.820578
-229.0,230,57.385412
-90.0,91,57.544322
-116.0,117,57.753853
-87.0,88,57.910879
-104.0,105,58.098884
-107.0,108,58.450846
-92.0,93,58.61279
-93.0,94,58.777761
-85.0,86,58.931001
-83.0,84,59.082014
-81.0,82,59.230345
-84.0,85,59.537336
-96.0,97,59.71001
-93.0,94,59.876573
-280.0,281,60.537679
-124.0,125,60.755266
-105.0,106,60.940155
-110.0,111,61.137823
-124.0,125,61.360432
-83.0,84,61.66388
-84.0,85,61.812222
-87.0,88,61.972459
-104.0,105,62.161112
-74.0,75,62.295279
-86.0,87,62.618087
-107.0,108,62.81109
-85.0,86,62.961261
-89.0,90,63.118584
-96.0,97,63.29483
-98.0,99,63.478524
-91.0,92,63.801731
-91.0,92,63.962314
-88.0,89,64.118334
-84.0,85,64.266484
-101.0,102,64.44969
-86.0,87,64.76365
-80.0,81,64.906394
-94.0,95,65.072325
-94.0,95,65.239673
-95.0,96,65.412204
-155.0,156,65.863972
-90.0,91,66.02281
-90.0,91,66.181153
-75.0,76,66.323395
-228.0,229,66.739081
-84.0,85,67.055531
-210.0,211,67.434377
-87.0,88,67.593322
-72.0,73,67.726972
-94.0,95,68.055426
-107.0,108,68.25072
-105.0,106,68.439333
-93.0,94,68.607668
-81.0,82,68.755218
-92.0,93,69.079116
