# {"t_start": 1592781832.7064834, "env_id": "MountainCarContinuous-v0"} 
r,l,t
-105.593775,999,3.288827
-104.125542,999,5.273289
-105.565308,999,7.259017
-91.616471,999,9.250624
-97.42139,999,11.232798
-88.660294,999,13.236777
-88.271046,999,15.229785
-88.36618,999,17.230255
39.67206,752,18.824424
48.066979,598,19.984821
51.308925,534,21.035643
44.987687,614,22.220312
63.190079,374,23.005052
69.856699,327,23.539084
35.278739,678,25.008307
77.449,261,25.430406
61.368347,390,26.256847
61.2519,399,27.14374
65.000339,318,27.659346
73.439711,292,28.312289
68.493703,280,28.772329
66.601626,336,29.497507
73.111703,271,30.117958
68.101771,343,30.677299
75.582937,247,31.270411
57.128124,445,32.221836
57.705833,446,33.130901
73.520395,261,33.561516
71.892873,285,34.211782
68.770342,280,34.668922
69.751071,300,35.33652
80.825446,215,35.68438
74.746412,261,36.286572
70.705153,320,36.808749
73.212906,264,37.418519
71.104617,268,37.854039
71.85489,321,38.552729
84.030068,156,38.808839
64.705186,328,39.520446
77.961277,261,39.948521
78.83256,186,40.428681
69.64239,287,40.902266
70.13976,265,41.512694
64.781309,345,42.26386
74.246665,287,42.728628
77.143389,220,43.266593
72.087135,272,43.708201
74.70723,218,44.064219
77.786658,170,44.515745
78.581391,229,44.890418
73.32081,241,45.46066
79.048136,175,45.747239
66.003053,306,46.414806
77.456009,233,46.790824
70.475711,304,47.467072
78.95903,191,47.779988
72.42837,240,48.354966
74.75626,248,48.756239
53.815922,452,49.667644
76.954902,219,50.026946
71.282793,272,50.654359
74.296722,258,51.075678
81.475382,165,51.529007
79.716139,187,51.834278
78.064336,189,52.141774
71.057254,307,52.836225
75.948336,198,53.162438
77.686775,200,53.665735
64.114705,318,54.180759
75.63231,213,54.704504
76.186515,232,55.081529
80.197105,197,55.630335
65.963907,284,56.282879
76.221461,182,56.894301
74.842962,188,57.327903
68.27886,204,57.760737
69.975445,242,58.434309
76.554925,235,58.973258
81.228035,166,59.460004
74.266432,280,59.955826
74.696688,207,60.490494
69.618182,298,61.002452
70.154272,249,61.619555
64.252548,311,62.153399
72.562173,286,62.89048
74.14561,205,63.320521
69.564345,281,64.002203
75.868622,184,64.323081
79.048191,192,64.825788
68.249551,317,65.35639
75.819787,202,65.883178
69.755183,257,66.314399
66.491744,284,66.96828
75.039366,238,67.364967
67.899732,285,68.029483
72.83627,199,68.362863
66.196465,289,69.023815
72.492784,214,69.385357
69.239634,276,70.02674
73.985994,237,70.424068
77.375505,208,70.765381
81.480359,163,71.219126
75.683312,212,71.577948
77.672531,165,71.862129
73.791538,212,72.404602
63.397317,302,72.906718
76.774647,208,73.550556
67.534778,249,74.024784
64.084787,254,74.676211
74.975905,197,75.010109
76.173531,219,75.56037
72.072778,202,75.90159
74.566321,236,76.292084
74.57843,225,76.854162
58.056725,290,77.344162
82.628324,125,77.734184
79.352389,187,78.050589
66.544111,268,78.707405
73.978629,223,79.099528
69.232778,249,79.713945
74.035232,184,80.019925
66.822576,284,80.516591
82.800325,144,80.956105
79.777557,132,81.175738
74.290723,221,81.541993
79.78526,149,81.986423
74.044055,180,82.310958
70.999457,199,82.667136
76.314872,190,83.211792
83.078871,129,83.445414
79.594536,167,83.751601
63.004921,270,84.416193
70.423991,211,84.789281
72.425084,235,85.412823
71.850299,225,85.828564
68.843256,233,86.40672
72.339402,229,86.812083
75.031818,201,87.3578
84.604197,132,87.582818
77.742961,156,87.860624
74.847731,259,88.487887
72.808426,213,88.871191
71.552352,254,89.526115
66.111947,208,89.90005
72.050087,205,90.254444
78.402422,166,90.719372
70.429151,255,91.15388
64.036338,357,91.986024
82.839571,177,92.29446
76.83385,171,92.757626
79.455513,203,93.107174
76.798837,196,93.427825
82.770515,135,93.849262
78.086759,175,94.190135
69.730447,252,94.695573
67.64675,210,95.25944
73.871748,215,95.641495
81.944642,162,96.145856
71.130551,216,96.519115
79.400315,131,96.745273
65.046137,314,97.460753
80.657876,141,97.694437
82.099676,159,97.994411
70.28949,195,98.534748
80.322815,139,98.772074
75.61916,168,99.058098
81.532822,118,99.461671
68.350907,175,99.767552
73.49116,208,100.131001
77.451059,205,100.699222
74.815104,165,100.974456
84.006362,136,101.197464
76.248546,205,101.749988
82.239806,135,101.99035
69.302406,210,102.354877
