# {"t_start": 1592777325.9158087, "env_id": "CartPole-v0"} 
r,l,t
9.0,9,1.397002
18.0,18,1.424501
11.0,11,1.440616
23.0,23,1.475107
11.0,11,1.491758
29.0,29,1.536088
26.0,26,1.575911
21.0,21,1.607938
18.0,18,1.634988
17.0,17,1.660668
38.0,38,1.717803
16.0,16,1.741804
22.0,22,1.775446
11.0,11,1.791899
46.0,46,1.860938
13.0,13,1.880618
13.0,13,1.900472
10.0,10,1.915657
16.0,16,1.939302
43.0,43,2.00461
30.0,30,2.049756
10.0,10,2.064847
15.0,15,2.087383
37.0,37,2.143215
21.0,21,2.338144
21.0,21,2.371363
15.0,15,2.395387
13.0,13,2.415417
13.0,13,2.435156
29.0,29,2.479452
71.0,71,2.589203
28.0,28,2.633925
19.0,19,2.664649
13.0,13,2.684846
34.0,34,2.736959
15.0,15,2.759604
12.0,12,2.777904
20.0,20,2.808825
23.0,23,2.844113
23.0,23,2.879996
50.0,50,2.958131
37.0,37,3.015311
39.0,39,3.076718
92.0,92,3.38041
25.0,25,3.418589
16.0,16,3.443232
18.0,18,3.471895
36.0,36,3.526948
14.0,14,3.548366
19.0,19,3.577379
55.0,55,3.661997
8.0,8,3.674628
43.0,43,3.739843
50.0,50,3.814349
20.0,20,3.845382
41.0,41,3.909945
42.0,42,3.975029
13.0,13,3.995363
32.0,32,4.045574
59.0,59,4.294165
27.0,27,4.334109
33.0,33,4.384087
15.0,15,4.406861
31.0,31,4.454035
42.0,42,4.518018
24.0,24,4.554319
42.0,42,4.61848
15.0,15,4.641896
21.0,21,4.673897
40.0,40,4.737115
14.0,14,4.759198
65.0,65,4.861705
31.0,31,4.910617
19.0,19,4.940245
17.0,17,4.96672
19.0,19,4.996575
28.0,28,5.198633
36.0,36,5.254059
9.0,9,5.267931
16.0,16,5.292686
37.0,37,5.349664
41.0,41,5.411993
86.0,86,5.544284
79.0,79,5.665814
23.0,23,5.700953
31.0,31,5.747586
45.0,45,5.817428
18.0,18,5.845103
38.0,38,5.902367
96.0,96,6.207204
132.0,132,6.406065
23.0,23,6.440986
51.0,51,6.520078
115.0,115,6.697166
36.0,36,6.751488
57.0,57,6.838159
99.0,99,7.149142
48.0,48,7.2239
49.0,49,7.296977
84.0,84,7.426136
34.0,34,7.478509
33.0,33,7.529086
58.0,58,7.618354
69.0,69,7.723429
95.0,95,8.027802
41.0,41,8.088699
39.0,39,8.147119
54.0,54,8.229854
38.0,38,8.288639
51.0,51,8.367699
17.0,17,8.393614
200.0,200,8.703197
17.0,17,8.73007
39.0,39,8.949894
64.0,64,9.050597
109.0,109,9.221765
176.0,176,9.491318
130.0,130,9.687419
106.0,106,10.008997
32.0,32,10.058403
77.0,77,10.178509
39.0,39,10.239207
117.0,117,10.422484
105.0,105,10.58714
138.0,138,10.974382
45.0,45,11.044945
79.0,79,11.168964
200.0,200,11.480212
113.0,113,11.65317
200.0,200,12.115309
144.0,144,12.339231
200.0,200,12.804938
149.0,149,13.029828
187.0,187,13.316139
126.0,126,13.508952
184.0,184,13.951503
200.0,200,14.267147
200.0,200,14.737281
200.0,200,15.04709
200.0,200,15.358185
200.0,200,15.826489
200.0,200,16.139133
200.0,200,16.611506
200.0,200,16.920926
200.0,200,17.235009
200.0,200,17.709064
200.0,200,18.026273
200.0,200,18.501369
200.0,200,18.813143
200.0,200,19.125338
200.0,200,19.59783
200.0,200,19.911272
200.0,200,20.221599
200.0,200,20.694506
200.0,200,21.000759
200.0,200,21.466908
200.0,200,21.776532
200.0,200,22.088698
200.0,200,22.551291
200.0,200,22.858531
200.0,200,23.319174
200.0,200,23.621576
200.0,200,23.933379
200.0,200,24.396917
200.0,200,24.700896
200.0,200,25.167335
200.0,200,25.475029
200.0,200,25.786703
200.0,200,26.255785
200.0,200,26.567063
185.0,185,26.858884
200.0,200,27.330367
200.0,200,27.639909
200.0,200,28.103403
200.0,200,28.409511
200.0,200,28.717916
173.0,173,29.143356
200.0,200,29.446974
200.0,200,29.92284
200.0,200,30.235254
200.0,200,30.550346
200.0,200,31.019414
200.0,200,31.329766
200.0,200,31.640079
195.0,195,32.097388
200.0,200,32.407364
200.0,200,32.876842
200.0,200,33.179545
199.0,199,33.483484
200.0,200,33.954687
200.0,200,34.270815
200.0,200,34.742889
200.0,200,35.056006
200.0,200,35.372719
200.0,200,35.844035
200.0,200,36.152633
200.0,200,36.62349
200.0,200,36.939992
200.0,200,37.246183
200.0,200,37.709061
200.0,200,38.017316
200.0,200,38.482077
200.0,200,38.791212
200.0,200,39.100858
200.0,200,39.582485
200.0,200,39.894146
200.0,200,40.202815
200.0,200,40.668609
200.0,200,40.958219
200.0,200,41.42343
200.0,200,41.733351
200.0,200,42.044262
200.0,200,42.511853
174.0,174,42.78392
200.0,200,43.248159
200.0,200,43.555286
200.0,200,43.863769
200.0,200,44.328058
200.0,200,44.637841
200.0,200,44.945562
200.0,200,45.412575
200.0,200,45.715374
200.0,200,46.174125
200.0,200,46.485016
200.0,200,46.792505
