# {"t_start": 1592777325.9124308, "env_id": "CartPole-v0"} 
r,l,t
200.0,200,69.238314
200.0,200,69.549145
200.0,200,70.008494
200.0,200,70.318431
200.0,200,70.792372
200.0,200,71.097892
200.0,200,71.407435
200.0,200,71.876747
200.0,200,72.19073
200.0,200,72.657054
200.0,200,72.967803
200.0,200,73.277397
200.0,200,73.741838
200.0,200,74.048013
200.0,200,74.358765
200.0,200,74.820827
200.0,200,75.127235
200.0,200,75.592211
200.0,200,75.89941
200.0,200,76.213793
200.0,200,76.688043
200.0,200,76.993322
200.0,200,77.469105
200.0,200,77.776386
200.0,200,78.084911
200.0,200,78.549338
200.0,200,78.856334
200.0,200,79.322775
200.0,200,79.633543
200.0,200,79.942462
200.0,200,80.408445
200.0,200,80.718347
200.0,200,81.189137
200.0,200,81.495944
200.0,200,81.801948
200.0,200,82.264076
200.0,200,82.570345
200.0,200,82.870984
200.0,200,83.342014
200.0,200,83.657958
200.0,200,84.132092
200.0,200,84.445833
200.0,200,84.760555
200.0,200,85.234652
200.0,200,85.545746
200.0,200,86.013969
200.0,200,86.319674
200.0,200,86.633871
200.0,200,87.115767
200.0,200,87.419222
200.0,200,87.881643
200.0,200,88.180794
200.0,200,88.490133
200.0,200,88.954627
200.0,200,89.258988
200.0,200,89.727942
200.0,200,90.03151
200.0,200,90.343816
200.0,200,90.809972
200.0,200,91.117115
200.0,200,91.423423
200.0,200,91.889348
200.0,200,92.200991
200.0,200,92.666116
200.0,200,92.971263
200.0,200,93.271556
200.0,200,93.739518
200.0,200,94.045301
200.0,200,94.509447
200.0,200,94.817493
200.0,200,95.129497
200.0,200,95.594233
200.0,200,95.902506
200.0,200,96.377595
200.0,200,96.687473
200.0,200,96.995863
200.0,200,97.460446
183.0,183,97.738947
200.0,200,98.046313
200.0,200,98.515926
200.0,200,98.828157
200.0,200,99.297332
200.0,200,99.607331
200.0,200,99.91409
200.0,200,100.384452
200.0,200,100.695937
200.0,200,101.160031
200.0,200,101.468699
200.0,200,101.77512
200.0,200,102.243768
200.0,200,102.558388
200.0,200,103.026546
200.0,200,103.338053
200.0,200,103.650897
200.0,200,104.115996
200.0,200,104.423185
200.0,200,104.729323
200.0,200,105.199897
200.0,200,105.509781
200.0,200,105.985807
200.0,200,106.291239
200.0,200,106.601097
200.0,200,107.064425
200.0,200,107.374168
200.0,200,107.842696
200.0,200,108.151325
200.0,200,108.458598
200.0,200,108.927541
200.0,200,109.228817
200.0,200,109.695328
200.0,200,110.011374
200.0,200,110.324004
200.0,200,110.787272
200.0,200,111.099206
200.0,200,111.571448
200.0,200,111.879422
200.0,200,112.192982
200.0,200,112.662829
200.0,200,112.978742
200.0,200,113.294626
200.0,200,113.767043
200.0,200,114.080041
200.0,200,114.550724
200.0,200,114.869789
200.0,200,115.176347
200.0,200,115.666049
200.0,200,115.983307
200.0,200,116.453715
200.0,200,116.765723
200.0,200,117.07609
200.0,200,117.548801
200.0,200,117.85953
200.0,200,118.329674
200.0,200,118.632328
200.0,200,118.945127
200.0,200,119.414655
200.0,200,119.72848
200.0,200,120.200398
200.0,200,120.507077
200.0,200,120.81708
200.0,200,121.285989
200.0,200,121.596716
200.0,200,121.904987
200.0,200,122.364258
200.0,200,122.667308
200.0,200,123.128268
200.0,200,123.436136
200.0,200,123.746215
200.0,200,124.219968
200.0,200,124.530592
200.0,200,125.019256
200.0,200,125.335757
200.0,200,125.640653
200.0,200,126.103786
200.0,200,126.410434
200.0,200,126.873589
200.0,200,127.173754
200.0,200,127.483852
200.0,200,127.950896
200.0,200,128.257031
200.0,200,128.564865
200.0,200,129.027185
200.0,200,129.333335
200.0,200,129.797859
200.0,200,130.105423
200.0,200,130.414843
200.0,200,130.888252
200.0,200,131.196362
200.0,200,131.659343
200.0,200,131.972124
200.0,200,132.284147
200.0,200,132.75723
200.0,200,133.065888
200.0,200,133.529732
200.0,200,133.842259
200.0,200,134.156394
200.0,200,134.629892
200.0,200,134.939253
200.0,200,135.401165
200.0,200,135.706399
200.0,200,136.014713
200.0,200,136.474781
200.0,200,136.775787
200.0,200,137.079886
200.0,200,137.546161
200.0,200,137.84936
200.0,200,138.314504
200.0,200,138.623822
200.0,200,138.933633
200.0,200,139.400508
200.0,200,139.706403
200.0,200,140.172822
200.0,200,140.478606
200.0,200,140.786663
200.0,200,141.257293
200.0,200,141.562528
200.0,200,142.029298
200.0,200,142.337535
200.0,200,142.644177
200.0,200,143.110621
200.0,200,143.421814
200.0,200,143.903063
200.0,200,144.213597
200.0,200,144.520731
200.0,200,144.990763
200.0,200,145.304175
200.0,200,145.608983
200.0,200,146.078372
200.0,200,146.39097
200.0,200,146.856986
200.0,200,147.15617
200.0,200,147.453598
200.0,200,147.920276
200.0,200,148.232466
200.0,200,148.701411
200.0,200,149.012602
200.0,200,149.321064
200.0,200,149.789871
200.0,200,150.101577
200.0,200,150.567386
200.0,200,150.880694
200.0,200,151.186574
200.0,200,151.658202
200.0,200,151.964761
200.0,200,152.27469
200.0,200,152.744216
200.0,200,153.060743
200.0,200,153.544303
200.0,200,153.852056
200.0,200,154.160836
200.0,200,154.627981
200.0,200,154.940988
200.0,200,155.411844
200.0,200,155.721561
200.0,200,156.032175
200.0,200,156.501509
200.0,200,156.810652
200.0,200,157.279877
200.0,200,157.588891
200.0,200,157.898441
200.0,200,158.366332
200.0,200,158.672545
200.0,200,159.141076
200.0,200,159.454156
200.0,200,159.766597
200.0,200,160.24242
200.0,200,160.558972
200.0,200,160.872884
200.0,200,161.339733
200.0,200,161.651036
200.0,200,162.127232
200.0,200,162.442828
200.0,200,162.753043
200.0,200,163.236565
200.0,200,163.545918
200.0,200,164.009035
200.0,200,164.314138
200.0,200,164.623823
200.0,200,165.090623
200.0,200,165.402671
200.0,200,165.867905
200.0,200,166.174891
200.0,200,166.477519
200.0,200,166.942309
200.0,200,167.251923
200.0,200,167.715603
200.0,200,168.020695
200.0,200,168.324052
200.0,200,168.792026
200.0,200,169.096472
200.0,200,169.403326
200.0,200,169.864346
200.0,200,170.17698
200.0,200,170.643437
200.0,200,170.953314
200.0,200,171.266163
200.0,200,171.735405
200.0,200,172.049051
200.0,200,172.533448
200.0,200,172.843205
200.0,200,173.152845
200.0,200,173.618147
200.0,200,173.92711
200.0,200,174.397221
200.0,200,174.707543
200.0,200,175.016516
200.0,200,175.485571
200.0,200,175.795549
200.0,200,176.10214
200.0,200,176.569343
200.0,200,176.881945
200.0,200,177.351775
200.0,200,177.664214
200.0,200,177.976995
200.0,200,178.452702
200.0,200,178.769257
200.0,200,179.240327
200.0,200,179.550738
200.0,200,179.859485
200.0,200,180.325574
200.0,200,180.641846
200.0,200,181.113658
200.0,200,181.424134
200.0,200,181.737153
200.0,200,182.207823
200.0,200,182.510777
200.0,200,182.987862
200.0,200,183.293823
200.0,200,183.59874
200.0,200,184.068861
200.0,200,184.376316
200.0,200,184.683232
200.0,200,185.142559
200.0,200,185.449468
200.0,200,185.916026
200.0,200,186.217716
200.0,200,186.526014
200.0,200,186.994444
200.0,200,187.300729
200.0,200,187.762781
200.0,200,188.0659
200.0,200,188.378829
200.0,200,188.848891
200.0,200,189.150561
200.0,200,189.62253
200.0,200,189.935049
200.0,200,190.24618
200.0,200,190.714858
200.0,200,191.020728
200.0,200,191.498196
200.0,200,191.805843
200.0,200,192.11585
200.0,200,192.587568
200.0,200,192.899319
200.0,200,193.202824
200.0,200,193.665486
200.0,200,193.972899
200.0,200,194.444947
200.0,200,194.755882
200.0,200,195.06655
200.0,200,195.534025
200.0,200,195.850607
200.0,200,196.320112
200.0,200,196.632823
200.0,200,196.942506
200.0,200,197.408277
200.0,200,197.708837
200.0,200,198.164623
200.0,200,198.468262
200.0,200,198.772902
200.0,200,199.237031
200.0,200,199.548565
200.0,200,199.851293
200.0,200,200.312662
200.0,200,200.620278
200.0,200,201.090065
200.0,200,201.400858
200.0,200,201.712358
200.0,200,202.179887
200.0,200,202.492097
200.0,200,202.961558
200.0,200,203.26927
200.0,200,203.579942
200.0,200,204.047407
200.0,200,204.360982
200.0,200,204.837185
200.0,200,205.146992
200.0,200,205.456552
200.0,200,205.919432
200.0,200,206.229178
200.0,200,206.698385
200.0,200,207.002491
200.0,200,207.307903
200.0,200,207.774534
200.0,200,208.08544
200.0,200,208.398037
200.0,200,208.859289
200.0,200,209.161483
200.0,200,209.630195
200.0,200,209.939618
200.0,200,210.245994
200.0,200,210.72279
200.0,200,211.024373
200.0,200,211.489714
200.0,200,211.792199
200.0,200,212.099498
200.0,200,212.573441
200.0,200,212.891055
200.0,200,213.35999
200.0,200,213.666547
200.0,200,213.973989
200.0,200,214.43701
200.0,200,214.739981
200.0,200,215.208862
200.0,200,215.512354
200.0,200,215.81756
200.0,200,216.28272
200.0,200,216.59584
200.0,200,216.898003
200.0,200,217.370467
200.0,200,217.680361
200.0,200,218.153342
200.0,200,218.465818
200.0,200,218.781886
200.0,200,219.252466
200.0,200,219.56706
200.0,200,220.043145
200.0,200,220.349332
200.0,200,220.654153
200.0,200,221.113894
200.0,200,221.420861
200.0,200,221.881355
200.0,200,222.186416
200.0,200,222.50029
200.0,200,222.961915
200.0,200,223.269388
200.0,200,223.576928
200.0,200,224.037013
200.0,200,224.348095
200.0,200,224.819367
200.0,200,225.130587
200.0,200,225.441386
200.0,200,225.905031
200.0,200,226.213292
200.0,200,226.680932
200.0,200,226.984687
200.0,200,227.29586
200.0,200,227.769232
200.0,200,228.082637
200.0,200,228.556829
200.0,200,228.870749
200.0,200,229.181656
200.0,200,229.655113
200.0,200,229.963771
200.0,200,230.433257
200.0,200,230.745528
200.0,200,231.059752
200.0,200,231.520593
200.0,200,231.832383
200.0,200,232.140301
200.0,200,232.609109
200.0,200,232.925591
200.0,200,233.389736
200.0,200,233.701333
200.0,200,234.009788
200.0,200,234.471672
200.0,200,234.781669
200.0,200,235.253909
200.0,200,235.563432
200.0,200,235.870515
200.0,200,236.34032
200.0,200,236.650753
200.0,200,237.119175
200.0,200,237.427921
200.0,200,237.738665
200.0,200,238.206265
200.0,200,238.519482
200.0,200,239.002099
200.0,200,239.305681
200.0,200,239.62183
200.0,200,240.089731
200.0,200,240.402895
200.0,200,240.716902
200.0,200,241.190275
200.0,200,241.496752
200.0,200,241.95354
200.0,200,242.25885
200.0,200,242.565428
200.0,200,243.037401
200.0,200,243.347324
200.0,200,243.82109
200.0,200,244.130739
200.0,200,244.438811
200.0,200,244.906728
200.0,200,245.214828
200.0,200,245.684916
200.0,200,245.997307
200.0,200,246.309549
200.0,200,246.777482
200.0,200,247.093915
200.0,200,247.400425
200.0,200,247.86438
200.0,200,248.173708
200.0,200,248.655625
200.0,200,248.961167
200.0,200,249.276981
200.0,200,249.753941
200.0,200,250.065665
200.0,200,250.535644
200.0,200,250.844127
200.0,200,251.158227
200.0,200,251.622687
200.0,200,251.931314
200.0,200,252.399161
200.0,200,252.712413
200.0,200,253.024785
200.0,200,253.492143
200.0,200,253.805154
200.0,200,254.278382
200.0,200,254.585168
200.0,200,254.896378
200.0,200,255.366768
200.0,200,255.678495
200.0,200,255.986189
200.0,200,256.454224
200.0,200,256.760317
200.0,200,257.233878
200.0,200,257.547522
200.0,200,257.857569
200.0,200,258.33376
200.0,200,258.646674
200.0,200,259.116081
200.0,200,259.428636
200.0,200,259.739283
200.0,200,260.205503
200.0,200,260.521924
200.0,200,260.993031
200.0,200,261.3095
200.0,200,261.619529
200.0,200,262.084431
200.0,200,262.396032
200.0,200,262.867232
200.0,200,263.175835
200.0,200,263.482185
200.0,200,263.946084
200.0,200,264.255912
200.0,200,264.561924
200.0,200,265.030294
200.0,200,265.334295
200.0,200,265.807124
200.0,200,266.12101
200.0,200,266.435947
200.0,200,266.897104
200.0,200,267.209841
200.0,200,267.685116
200.0,200,267.99017
200.0,200,268.295529
200.0,200,268.757135
200.0,200,269.06516
200.0,200,269.531251
200.0,200,269.840268
200.0,200,270.14344
200.0,200,270.609609
200.0,200,270.923027
200.0,200,271.226008
200.0,200,271.695552
200.0,200,272.002339
200.0,200,272.468175
200.0,200,272.77887
200.0,200,273.087993
200.0,200,273.560072
200.0,200,273.865777
200.0,200,274.335548
200.0,200,274.64665
200.0,200,274.952376
200.0,200,275.412386
200.0,200,275.727007
200.0,200,276.189439
200.0,200,276.499444
200.0,200,276.810436
200.0,200,277.283455
200.0,200,277.591309
200.0,200,278.057781
200.0,200,278.366154
200.0,200,278.680072
200.0,200,279.149951
200.0,200,279.463274
200.0,200,279.772211
200.0,200,280.238114
200.0,200,280.545178
200.0,200,281.013063
200.0,200,281.324157
200.0,200,281.642922
200.0,200,282.11413
200.0,200,282.425313
200.0,200,282.890413
200.0,200,283.194634
200.0,200,283.503371
200.0,200,283.978774
200.0,200,284.281385
200.0,200,284.74978
200.0,200,285.053898
200.0,200,285.361713
200.0,200,285.82459
200.0,200,286.132806
200.0,200,286.609225
200.0,200,286.916055
200.0,200,287.218904
200.0,200,287.685376
200.0,200,287.99221
200.0,200,288.300133
200.0,200,288.763426
200.0,200,289.077561
200.0,200,289.547753
200.0,200,289.859773
200.0,200,290.174317
200.0,200,290.641073
200.0,200,290.953567
200.0,200,291.424384
200.0,200,291.733095
200.0,200,292.040443
200.0,200,292.510272
200.0,200,292.81779
200.0,200,293.281584
200.0,200,293.59516
200.0,200,293.90835
200.0,200,294.378882
200.0,200,294.690552
200.0,200,295.004142
200.0,200,295.470233
200.0,200,295.780261
200.0,200,296.262117
200.0,200,296.574715
200.0,200,296.889266
200.0,200,297.36342
200.0,200,297.675259
200.0,200,298.138813
200.0,200,298.451608
200.0,200,298.754546
200.0,200,299.22063
200.0,200,299.525767
200.0,200,299.981468
200.0,200,300.282183
200.0,200,300.589425
200.0,200,301.054453
200.0,200,301.360184
200.0,200,301.825013
200.0,200,302.138574
200.0,200,302.450193
200.0,200,302.921671
200.0,200,303.230337
200.0,200,303.542363
200.0,200,304.018711
200.0,200,304.337181
200.0,200,304.811336
200.0,200,305.127638
200.0,200,305.439737
200.0,200,305.91777
200.0,200,306.220987
200.0,200,306.68615
200.0,200,306.994452
200.0,200,307.302335
200.0,200,307.770125
200.0,200,308.081988
200.0,200,308.54489
200.0,200,308.847184
200.0,200,309.148612
200.0,200,309.613399
200.0,200,309.92622
200.0,200,310.396331
200.0,200,310.709748
200.0,200,311.017488
200.0,200,311.485407
200.0,200,311.790704
200.0,200,312.103193
200.0,200,312.566332
200.0,200,312.875828
200.0,200,313.342534
200.0,200,313.652725
200.0,200,313.960272
200.0,200,314.431023
200.0,200,314.733966
200.0,200,315.209481
200.0,200,315.521589
200.0,200,315.832786
200.0,200,316.30044
200.0,200,316.610998
200.0,200,317.081372
200.0,200,317.386914
200.0,200,317.695582
200.0,200,318.160721
200.0,200,318.4702
200.0,200,318.778879
200.0,200,319.248942
200.0,200,319.564145
200.0,200,320.029757
200.0,200,320.334696
200.0,200,320.64593
200.0,200,321.10705
200.0,200,321.418515
200.0,200,321.881318
200.0,200,322.18624
200.0,200,322.496792
200.0,200,322.963274
200.0,200,323.272131
200.0,200,323.734156
200.0,200,324.031192
200.0,200,324.334646
200.0,200,324.812929
200.0,200,325.123709
200.0,200,325.594023
200.0,200,325.90637
200.0,200,326.216684
200.0,200,326.686282
200.0,200,326.996299
200.0,200,327.309323
200.0,200,327.774435
200.0,200,328.079629
200.0,200,328.543657
200.0,200,328.853271
200.0,200,329.16102
200.0,200,329.628737
200.0,200,329.937168
200.0,200,330.406074
200.0,200,330.715889
200.0,200,331.025052
200.0,200,331.493405
200.0,200,331.799247
200.0,200,332.265167
200.0,200,332.573494
200.0,200,332.88417
200.0,200,333.347045
200.0,200,333.65766
200.0,200,334.134139
200.0,200,334.442499
200.0,200,334.752509
200.0,200,335.220327
200.0,200,335.526848
200.0,200,335.836528
200.0,200,336.308629
200.0,200,336.618782
200.0,200,337.086816
200.0,200,337.395969
200.0,200,337.711167
200.0,200,338.180799
200.0,200,338.492126
200.0,200,338.961457
200.0,200,339.276393
