# {"t_start": 1592776295.2156703, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.291003
-500.0,500,3.349387
-500.0,500,4.397906
-448.0,449,5.354598
-500.0,500,6.408365
-500.0,500,7.47395
-500.0,500,8.566709
-465.0,466,9.611346
-500.0,500,10.678961
-500.0,500,11.764506
-471.0,472,12.800267
-314.0,315,13.531943
-282.0,283,14.035902
-291.0,292,14.722545
-291.0,292,15.252097
-292.0,293,15.937625
-268.0,269,16.420051
-232.0,233,16.997301
-189.0,190,17.339746
-219.0,220,17.90666
-280.0,281,18.409035
-151.0,152,18.840343
-315.0,316,19.406152
-221.0,222,19.961745
-187.0,188,20.289026
-253.0,254,20.735023
-189.0,190,21.229325
-257.0,258,21.69681
-185.0,186,22.196752
-156.0,157,22.492974
-171.0,172,22.801387
-182.0,183,23.304964
-138.0,139,23.550364
-159.0,160,23.83449
-113.0,114,24.039637
-141.0,142,24.448984
-136.0,137,24.690814
-145.0,146,24.955857
-116.0,117,25.323478
-155.0,156,25.5994
-187.0,188,25.939431
-186.0,187,26.430967
-173.0,174,26.743336
-146.0,147,27.007083
-320.0,321,27.738449
-129.0,130,27.976537
-133.0,134,28.218287
-140.0,141,28.633827
-117.0,118,28.846174
-133.0,134,29.082946
-110.0,111,29.281512
-156.0,157,29.728548
-110.0,111,29.926564
-110.0,111,30.12463
-98.0,99,30.302201
-143.0,144,30.724872
-197.0,198,31.094533
-96.0,97,31.271739
-143.0,144,31.54389
-97.0,98,31.892866
-99.0,100,32.081794
-99.0,100,32.269224
-173.0,174,32.582156
-111.0,112,32.943637
-114.0,115,33.156426
-125.0,126,33.387373
-141.0,142,33.643458
-98.0,99,33.822204
-114.0,115,34.196373
-137.0,138,34.444066
-131.0,132,34.678692
-106.0,107,34.873233
-93.0,94,35.206411
-96.0,97,35.380832
-129.0,130,35.612095
-109.0,110,35.80958
-292.0,293,36.489226
-134.0,135,36.726478
-134.0,135,36.969059
-83.0,84,37.277542
-98.0,99,37.452096
-131.0,132,37.687105
-107.0,108,37.880971
-131.0,132,38.115495
-89.0,90,38.433971
-123.0,124,38.655857
-101.0,102,38.83773
-105.0,106,39.027961
-117.0,118,39.396373
-101.0,102,39.579927
-220.0,221,39.972794
-118.0,119,40.186152
-223.0,224,40.746573
-111.0,112,40.948765
-100.0,101,41.133597
-111.0,112,41.335427
-126.0,127,41.717691
-136.0,137,41.963199
-121.0,122,42.184981
-107.0,108,42.382516
-151.0,152,42.815738
-128.0,129,43.04747
-92.0,93,43.216744
-133.0,134,43.4627
-121.0,122,43.856126
-96.0,97,44.03011
-89.0,90,44.192641
-117.0,118,44.405295
-140.0,141,44.829582
-109.0,110,45.027016
-93.0,94,45.195825
-98.0,99,45.376373
-91.0,92,45.542838
-103.0,104,45.88655
-292.0,293,46.415638
-180.0,181,46.744808
-106.0,107,47.092889
-94.0,95,47.259924
-96.0,97,47.430613
-122.0,123,47.647238
-148.0,149,48.066556
-87.0,88,48.220557
-143.0,144,48.477388
-99.0,100,48.657079
-125.0,126,48.884535
-82.0,83,49.192839
-266.0,267,49.680331
-121.0,122,49.896638
-99.0,100,50.235266
-90.0,91,50.395389
-103.0,104,50.585386
-130.0,131,50.822109
-111.0,112,51.028713
-92.0,93,51.361255
-91.0,92,51.522804
-87.0,88,51.679006
-115.0,116,51.892077
-146.0,147,52.162824
-110.0,111,52.51924
-117.0,118,52.726063
-96.0,97,52.902983
-97.0,98,53.076791
-103.0,104,53.265964
-85.0,86,53.575781
-91.0,92,53.739753
-84.0,85,53.891632
-150.0,151,54.168854
-105.0,106,54.518868
-134.0,135,54.760562
-101.0,102,54.943956
-97.0,98,55.123127
-77.0,78,55.265753
-90.0,91,55.43045
-112.0,113,55.797994
-79.0,80,55.943073
-88.0,89,56.10139
-116.0,117,56.316395
-80.0,81,56.461658
-93.0,94,56.786338
-68.0,69,56.912224
-103.0,104,57.103772
-74.0,75,57.242528
-114.0,115,57.448976
-100.0,101,57.787919
-85.0,86,57.940837
-115.0,116,58.148827
-106.0,107,58.344286
-102.0,103,58.530477
-100.0,101,58.868184
-113.0,114,59.087618
-85.0,86,59.252992
-210.0,211,59.642774
-104.0,105,60.001109
-85.0,86,60.16032
-86.0,87,60.319702
-86.0,87,60.480266
-85.0,86,60.640116
-147.0,148,60.917047
-95.0,96,61.257793
-82.0,83,61.405092
-130.0,131,61.633725
-88.0,89,61.797303
-110.0,111,61.997544
-116.0,117,62.380857
-133.0,134,62.638752
-91.0,92,62.816169
-84.0,85,62.980794
-99.0,100,63.33093
-88.0,89,63.50104
-101.0,102,63.694179
-91.0,92,63.877638
-94.0,95,64.061947
-92.0,93,64.231947
-66.0,67,64.510459
-83.0,84,64.662689
-132.0,133,64.900943
-90.0,91,65.062881
-90.0,91,65.228501
-88.0,89,65.547055
-88.0,89,65.71103
-173.0,174,66.02334
-87.0,88,66.18088
-97.0,98,66.358827
