# {"t_start": 1592776295.2402203, "env_id": "Acrobot-v1"} 
r,l,t
-500.0,500,2.266778
-500.0,500,3.325008
-500.0,500,4.373463
-500.0,500,5.42102
-500.0,500,6.47612
-500.0,500,7.540413
-500.0,500,8.640384
-500.0,500,9.742331
-500.0,500,10.809685
-500.0,500,11.902882
-500.0,500,12.977878
-221.0,222,13.543844
-319.0,320,14.11398
-183.0,184,14.605721
-457.0,458,15.593387
-239.0,240,16.024324
-312.0,313,16.743587
-350.0,351,17.378626
-266.0,267,18.02612
-238.0,239,18.455047
-216.0,217,19.000933
-239.0,240,19.43279
-259.0,260,20.052173
-225.0,226,20.446299
-166.0,167,20.740475
-201.0,202,21.25957
-150.0,151,21.53168
-172.0,173,22.001975
-184.0,185,22.347682
-239.0,240,22.78618
-471.0,472,23.800907
-163.0,164,24.251718
-146.0,147,24.512477
-470.0,471,25.513939
-231.0,232,25.930455
-147.0,148,26.353652
-134.0,135,26.592176
-129.0,130,26.828721
-113.0,114,27.032911
-181.0,182,27.516894
-163.0,164,27.811322
-101.0,102,27.99682
-106.0,107,28.190311
-159.0,160,28.640795
-123.0,124,28.862382
-304.0,305,29.408832
-139.0,140,29.821921
-120.0,121,30.037686
-89.0,90,30.198787
-131.0,132,30.436842
-133.0,134,30.846847
-115.0,116,31.062616
-149.0,150,31.336993
-284.0,285,32.042433
-145.0,146,32.313863
-447.0,448,33.28853
-129.0,130,33.524405
-142.0,143,33.781846
-106.0,107,34.14184
-111.0,112,34.342339
-111.0,112,34.541828
-136.0,137,34.788748
-109.0,110,35.151206
-138.0,139,35.400944
-103.0,104,35.585877
-145.0,146,35.848376
-135.0,136,36.250764
-105.0,106,36.436653
-102.0,103,36.617578
-126.0,127,36.84316
-130.0,131,37.237387
-79.0,80,37.378803
-101.0,102,37.55963
-109.0,110,37.756662
-102.0,103,37.939926
-144.0,145,38.355938
-116.0,117,38.565419
-96.0,97,38.738538
-127.0,128,38.967684
-153.0,154,39.401242
-117.0,118,39.611884
-122.0,123,39.830232
-135.0,136,40.072866
-126.0,127,40.461068
-100.0,101,40.643119
-107.0,108,40.834446
-111.0,112,41.039812
-97.0,98,41.216179
-143.0,144,41.632133
-208.0,209,42.006593
-99.0,100,42.188225
-111.0,112,42.393063
-86.0,87,42.710276
-125.0,126,42.933586
-95.0,96,43.108427
-115.0,116,43.320073
-90.0,91,43.490435
-122.0,123,43.881736
-108.0,109,44.07779
-89.0,90,44.240575
-159.0,160,44.52934
-125.0,126,44.925671
-91.0,92,45.09016
-107.0,108,45.286208
-99.0,100,45.468175
-86.0,87,45.624626
-102.0,103,45.968095
-97.0,98,46.144913
-109.0,110,46.341538
-121.0,122,46.564005
-106.0,107,46.758576
-110.0,111,47.112411
-101.0,102,47.291596
-87.0,88,47.446943
-105.0,106,47.63352
-103.0,104,47.815649
-94.0,95,48.140388
-129.0,130,48.369657
-80.0,81,48.517476
-157.0,158,48.80076
-106.0,107,49.151022
-76.0,77,49.290282
-98.0,99,49.473823
-84.0,85,49.629306
-105.0,106,49.817461
-92.0,93,49.981507
-201.0,202,50.504135
-98.0,99,50.683985
-91.0,92,50.850843
-106.0,107,51.049311
-96.0,97,51.386033
-104.0,105,51.570142
-96.0,97,51.746612
-98.0,99,51.92841
-113.0,114,52.138557
-81.0,82,52.444107
-113.0,114,52.643629
-91.0,92,52.80931
-99.0,100,52.989156
-80.0,81,53.134733
-78.0,79,53.43592
-108.0,109,53.626659
-92.0,93,53.793703
-112.0,113,53.999565
-88.0,89,54.163066
-94.0,95,54.492678
-103.0,104,54.678139
-149.0,150,54.948809
-102.0,103,55.137045
-116.0,117,55.349905
-98.0,99,55.693174
-88.0,89,55.852625
-105.0,106,56.042813
-108.0,109,56.24259
-87.0,88,56.401822
-86.0,87,56.712838
